Unnamed: 0,ATL,NYJ
First Downs,18,15
Rush-Yds-TDs,32-140-0,22-43-0
Cmp-Att-Yd-TD-INT,18-29-254-2-0,26-33-257-2-0
Sacked-Yards,1-8,3-21
Net Pass Yards,246,236
Total Yards,386,279
Fumbles-Lost,4-2,3-1
Turnovers,2,1
Penalties-Yards,6-68,6-50
Third Down Conv.,5-14,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,28:19,31:41
