Unnamed: 0,JAX,MIA
First Downs,19,11
Rush-Yds-TDs,32-126-1,18-62-0
Cmp-Att-Yd-TD-INT,17-24-145-0-0,15-22-146-1-1
Sacked-Yards,6-27,3-25
Net Pass Yards,118,121
Total Yards,244,183
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,10-97,10-95
Third Down Conv.,6-13,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,34:45,25:15
