Unnamed: 0,CIN,TEN
First Downs,16,22
Rush-Yds-TDs,17-57-1,37-163-1
Cmp-Att-Yd-TD-INT,20-36-247-0-1,21-32-210-2-1
Sacked-Yards,4-30,2-15
Net Pass Yards,217,195
Total Yards,274,358
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,10-64,7-58
Third Down Conv.,5-12,3-13
Fourth Down Conv.,0-0,2-2
Time of Possession,23:25,36:35
