Quarter,Time,Tm,Detail,CIN,TEN
1.0,8:29,Bengals,Shayne Graham 28 yard field goal,3,0
2.0,14:27,Titans,Gary Anderson 23 yard field goal,3,3
,8:33,Titans,Gary Anderson 45 yard field goal,3,6
,0:00,Titans,Shad Meier 1 yard pass from Billy Volek (Gary Anderson kick),3,13
3.0,12:16,Bengals,Madieu Williams 51 yard interception return (Shayne Graham kick),10,13
,4:49,Bengals,Shayne Graham 50 yard field goal,13,13
,2:10,Titans,Troy Fleming 13 yard pass from Billy Volek (Gary Anderson kick),13,20
,0:09,Titans,Chris Brown 1 yard rush (Gary Anderson kick),13,27
4.0,13:47,Bengals,Rudi Johnson 6 yard rush (Shayne Graham kick),20,27
