Quarter,Time,Tm,Detail,CAR,NYG
1,9:34,Giants,John Carney 32 yard field goal,0,3
,6:16,Panthers,DeAngelo Williams 13 yard rush (John Kasay kick),7,3
2,13:38,Giants,Brandon Jacobs 2 yard rush (John Carney kick),7,10
,8:12,Panthers,DeAngelo Williams 5 yard rush (John Kasay kick),14,10
,4:45,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),21,10
,0:50,Giants,John Carney 35 yard field goal,21,13
3,0:59,Giants,Kevin Boss 4 yard pass from Eli Manning (John Carney kick),21,20
4,12:50,Panthers,DeAngelo Williams 30 yard rush (John Kasay kick),28,20
,3:21,Giants,Brandon Jacobs 1 yard rush (Domenik Hixon pass from Eli Manning),28,28
OT,9:57,Giants,Brandon Jacobs 2 yard rush,28,34
