Unnamed: 0,CAR,NYG
First Downs,16,25
Rush-Yds-TDs,35-158-4,41-301-3
Cmp-Att-Yd-TD-INT,11-19-185-0-0,17-27-181-1-0
Sacked-Yards,0-0,3-23
Net Pass Yards,185,158
Total Yards,343,459
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,2-14,2-10
Third Down Conv.,6-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,25:56,39:07
