Quarter,Time,Tm,Detail,WAS,DAL
1.0,9:07,Redskins,Ryan Grant 5 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
,4:20,Redskins,Pierre Garcon 39 yard pass from Kirk Cousins (Dustin Hopkins kick),14,0
,0:19,Redskins,Jamison Crowder 3 yard pass from Kirk Cousins (Dustin Hopkins kick),21,0
2.0,8:16,Redskins,Dustin Hopkins 27 yard field goal,24,0
,3:35,Cowboys,Jason Witten 4 yard pass from Kellen Moore (Dan Bailey kick),24,7
,0:21,Cowboys,Cole Beasley 5 yard pass from Kellen Moore (Dan Bailey kick),24,14
3.0,2:57,Redskins,Dustin Hopkins 33 yard field goal,27,14
4.0,14:51,Redskins,Rashad Ross 71 yard pass from Colt McCoy (Dustin Hopkins kick),34,14
,12:20,Cowboys,"Safety, Alfred Morris tackled in end zone by Demarcus Lawrence",34,16
,4:18,Cowboys,Cole Beasley 7 yard pass from Kellen Moore (Dan Bailey kick),34,23
