Unnamed: 0,WAS,DAL
First Downs,19,27
Rush-Yds-TDs,36-146-0,16-100-0
Cmp-Att-Yd-TD-INT,19-26-304-4-0,33-48-435-3-2
Sacked-Yards,1-13,4-23
Net Pass Yards,291,412
Total Yards,437,512
Fumbles-Lost,2-0,2-2
Turnovers,0,4
Penalties-Yards,3-20,4-44
Third Down Conv.,7-14,2-10
Fourth Down Conv.,1-1,1-1
Time of Possession,33:57,26:03
