Unnamed: 0,ARI,GNB
First Downs,16,20
Rush-Yds-TDs,18-54-1,39-176-0
Cmp-Att-Yd-TD-INT,23-46-306-1-1,14-30-218-4-1
Sacked-Yards,2-20,1-10
Net Pass Yards,286,208
Total Yards,340,384
Fumbles-Lost,3-1,1-0
Turnovers,2,1
Penalties-Yards,8-57,1-5
Third Down Conv.,4-15,6-15
Fourth Down Conv.,1-2,0-0
Time of Possession,26:30,33:30
