Quarter,Time,Tm,Detail,ARI,GNB
1.0,5:31,Packers,Randall Cobb 13 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,13:26,Cardinals,LaRod Stephens-Howling 1 yard rush (Jay Feely kick),7,7
,7:44,Packers,Randall Cobb 21 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,1:54,Packers,James Jones 28 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
3.0,13:12,Packers,Mason Crosby 33 yard field goal,7,24
,8:21,Cardinals,Larry Fitzgerald 31 yard pass from John Skelton (Jay Feely kick),14,24
,0:50,Cardinals,Jay Feely 20 yard field goal,17,24
,0:00,Packers,Tom Crabtree 72 yard pass from Aaron Rodgers (Mason Crosby kick),17,31
