Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 58 yards, returned by William Powell for 9 yards (tackle by Sean Richardson)",0.000,-0.140
1,14:54,1,10,ARI 16,0,0,John Skelton pass complete short right to Rob Housler for 3 yards (tackle by Morgan Burnett and Brad Jones),-0.140,-0.180
1,14:13,2,7,ARI 19,0,0,John Skelton pass incomplete deep right intended for Larry Fitzgerald,-0.180,-0.950
1,14:08,3,7,ARI 19,0,0,John Skelton sacked by Mike Neal for -10 yards,-0.950,-2.490
1,13:38,4,17,ARI 9,0,0,"Dave Zastudil punts 39 yards, returned by Randall Cobb for 28 yards (tackle by Dave Zastudil)",-2.490,-4.240
1,13:26,1,10,ARI 20,0,0,Aaron Rodgers sacked by Calais Campbell and Darnell Dockett for -10 yards,4.240,2.340
1,12:59,2,20,ARI 30,0,0,James Starks right end for 4 yards (tackle by Daryl Washington and Calais Campbell),2.340,2.210
1,12:22,3,16,ARI 26,0,0,Aaron Rodgers pass incomplete deep left intended for Randall Cobb,2.210,1.740
1,12:15,4,16,ARI 26,0,0,Mason Crosby 44 yard field goal no good,1.740,-1.200
1,12:11,1,10,ARI 34,0,0,LaRod Stephens-Howling right end for 1 yard (tackle by A.J. Hawk),1.200,0.790
1,11:33,2,9,ARI 35,0,0,John Skelton pass complete short left to LaRod Stephens-Howling for 14 yards (tackle by Davon House),0.790,2.190
1,11:16,1,10,ARI 49,0,0,LaRod Stephens-Howling right end for 5 yards (tackle by Casey Hayward),2.190,2.320
1,10:38,2,5,GNB 46,0,0,John Skelton pass incomplete short middle intended for Rob Housler,2.320,1.620
1,10:33,3,5,GNB 46,0,0,John Skelton pass incomplete short left intended for Larry Fitzgerald,1.620,0.200
1,10:27,4,5,GNB 46,0,0,"Dave Zastudil punts 30 yards, fair catch by Randall Cobb",0.200,0.140
1,10:20,1,10,GNB 16,0,0,Alex Green left guard for 3 yards (tackle by O'Brien Schofield),-0.140,-0.180
1,9:54,2,7,GNB 19,0,0,Aaron Rodgers pass complete short middle to James Jones for 9 yards (tackle by Jamell Fleming),-0.180,0.810
1,9:23,1,10,GNB 28,0,0,Aaron Rodgers right guard for 25 yards (tackle by Patrick Peterson),0.810,2.460
1,8:41,1,10,ARI 47,0,0,Aaron Rodgers pass complete short middle to Jermichael Finley for 6 yards (tackle by Kerry Rhodes),2.460,2.720
1,8:07,2,4,ARI 41,0,0,Alex Green left end for 21 yards (tackle by Kerry Rhodes),2.720,4.240
1,7:45,1,10,ARI 20,0,0,Aaron Rodgers left end for 2 yards (tackle by Daryl Washington),4.240,3.960
1,7:10,2,8,ARI 18,0,0,Aaron Rodgers pass incomplete short left intended for Alex Green,3.960,3.220
1,7:06,3,8,ARI 18,0,0,Aaron Rodgers up the middle for 9 yards (tackle by Kerry Rhodes),3.220,5.140
1,6:26,1,9,ARI 9,0,0,Aaron Rodgers left end for 1 yard (tackle by Sam Acho),5.140,4.570
1,5:39,2,8,ARI 8,0,0,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,4.570,3.580
,,,,,,,"ARI challenged the pass completion ruling, and the original play was overturned.",,
1,5:39,3,8,ARI 8,0,0,"Penalty on Jermichael Finley: False Start, 5 yards (no play)",3.580,3.060
1,5:36,3,13,ARI 13,0,6,"Aaron Rodgers pass complete short middle to Randall Cobb for 13 yards, touchdown",3.060,7.000
1,5:36,,,ARI 2,0,7,"Mason Crosby kicks extra point good. Penalty on Patrick Peterson: Defensive Offside, 5 yards",0.000,0.000
1,5:31,,,GNB 40,0,7,"Mason Crosby kicks off 67 yards, touchback",0.000,0.280
1,5:31,1,10,ARI 20,0,7,LaRod Stephens-Howling right end for 4 yards (tackle by Brad Jones),0.280,0.270
1,4:52,2,6,ARI 24,0,7,LaRod Stephens-Howling left tackle for 5 yards (tackle by Brad Jones),0.270,0.230
1,4:13,3,1,ARI 29,0,7,LaRod Stephens-Howling right tackle for 1 yard (tackle by Jerron McMillian and Brad Jones),0.230,0.940
1,3:31,1,10,ARI 30,0,7,John Skelton pass incomplete short middle intended for LaRod Stephens-Howling,0.940,0.390
1,3:26,2,10,ARI 30,0,7,LaRod Stephens-Howling up the middle for 3 yards (tackle by Brad Jones and C.J. Wilson),0.390,0.000
1,2:41,,,,0,7,Timeout #1 by Arizona Cardinals,0.000,0.100
1,2:41,3,7,ARI 33,0,7,"Penalty on Rich Ohrnberger: False Start, 5 yards (no play)",0.100,-0.560
1,2:41,3,12,ARI 28,0,7,John Skelton pass complete short right to Larry Fitzgerald for 12 yards (tackle by Morgan Burnett),-0.560,1.600
1,1:59,1,10,ARI 40,0,7,LaRod Stephens-Howling left end for 2 yards (tackle by A.J. Hawk and Ryan Pickett),1.600,1.320
1,1:19,2,8,ARI 42,0,7,John Skelton pass incomplete short right intended for Early Doucet,1.320,0.630
1,1:15,3,8,ARI 42,0,7,John Skelton pass incomplete deep left intended for Larry Fitzgerald,0.630,-0.590
1,1:10,4,8,ARI 42,0,7,"Dave Zastudil punts 41 yards, out of bounds",-0.590,0.060
1,1:02,1,10,GNB 17,0,7,Aaron Rodgers pass incomplete short left intended for James Jones,-0.060,-0.580
1,0:59,2,10,GNB 17,0,7,Aaron Rodgers pass complete short left to James Jones for 17 yards (tackle by Jamell Fleming),-0.580,1.200
1,0:33,1,10,GNB 34,0,7,Alex Green up the middle for 6 yards (tackle by Adrian Wilson and Daryl Washington),1.200,1.470
Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,GNB 40,0,7,Aaron Rodgers pass incomplete short right intended for Randall Cobb is intercepted by William Gay at GNB-49 and returned for 6 yards (tackle by Donald Driver),1.470,-2.720
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
2,14:53,1,10,GNB 43,0,7,John Skelton pass complete deep middle to Andre Roberts for 40 yards (tackle by Casey Hayward),2.720,6.510
2,14:13,1,3,GNB 3,0,7,LaRod Stephens-Howling left tackle for 2 yards (tackle by Casey Hayward and M.D. Jennings),6.510,5.910
2,13:32,2,1,GNB 1,6,7,"LaRod Stephens-Howling right end for 1 yard, touchdown",5.910,7.000
2,13:32,,,GNB 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,13:26,,,ARI 35,7,7,"Jay Feely kicks off 67 yards, touchback",0.000,0.280
2,13:26,1,10,GNB 20,7,7,Randall Cobb right end for 11 yards (tackle by Calais Campbell),0.280,1.000
2,12:45,1,10,GNB 31,7,7,James Starks left end for 3 yards (tackle by Paris Lenon and Darnell Dockett),1.000,0.870
2,12:09,2,7,GNB 34,7,7,Randall Cobb right end for 12 yards (tackle by Calais Campbell),0.870,1.990
2,11:25,1,10,GNB 46,7,7,James Starks right end for 9 yards (tackle by Daryl Washington),1.990,2.670
2,10:53,2,1,ARI 45,7,7,James Starks right end for 3 yards (tackle by Calais Campbell),2.670,2.790
2,10:18,1,10,ARI 42,7,7,James Starks right end for 4 yards (tackle by David Carter and Patrick Peterson),2.790,2.780
2,9:37,2,6,ARI 38,7,7,Aaron Rodgers pass incomplete short left intended for Randall Cobb,2.780,2.080
2,9:32,3,6,ARI 38,7,7,"Aaron Rodgers pass incomplete deep middle intended for Randall Cobb. Penalty on Sam Acho: Defensive Offside, 5 yards (no play)",2.080,0.000
2,9:27,,,,7,7,Timeout #1 by Green Bay Packers,0.000,2.740
2,9:27,3,1,ARI 33,7,7,Alex Green up the middle for 2 yards (tackle by Kerry Rhodes),2.740,3.510
2,8:45,1,10,ARI 31,7,7,Aaron Rodgers pass incomplete short right intended for Tom Crabtree,3.510,2.970
2,8:42,2,10,ARI 31,7,7,Aaron Rodgers pass incomplete short left intended for Donald Driver,2.970,0.000
2,8:37,,,,7,7,Timeout #2 by Green Bay Packers,0.000,2.280
2,8:37,3,10,ARI 31,7,7,Aaron Rodgers pass complete short middle to Donald Driver for 10 yards (tackle by Sam Acho),2.280,4.170
2,7:50,1,10,ARI 21,7,13,"Aaron Rodgers pass complete deep right to Randall Cobb for 21 yards, touchdown",4.170,7.000
2,7:50,,,ARI 2,7,14,Mason Crosby kicks extra point good,0.000,0.000
2,7:44,,,GNB 35,7,14,"Mason Crosby kicks off 64 yards, returned by William Powell for 21 yards (tackle by Jerron McMillian)",0.000,0.410
2,7:37,1,10,ARI 22,7,14,William Powell up the middle for 3 yards (tackle by Ryan Pickett and Erik Walden),0.410,0.270
2,6:56,2,7,ARI 25,7,14,John Skelton pass incomplete deep middle intended for Andre Roberts,0.270,-0.430
2,6:51,3,7,ARI 25,7,14,John Skelton pass incomplete short left intended for Early Doucet,-0.430,-1.700
2,6:51,4,7,ARI 25,7,14,"Penalty on Dave Zastudil: Delay of Game, 5 yards (no play)",-1.700,-2.030
2,6:45,4,12,ARI 20,7,14,"Dave Zastudil punts 63 yards, returned by Randall Cobb for 8 yards (tackle by Justin Bethel)",-2.030,-0.610
2,6:33,1,10,GNB 25,7,14,"James Starks left guard for 5 yards (tackle by Paris Lenon). James Starks fumbles (forced by Paris Lenon), recovered by Aaron Rodgers at GNB-32",0.610,1.010
2,5:43,2,3,GNB 32,7,14,Aaron Rodgers pass complete short left to Alex Green for 6 yards (tackle by Calais Campbell),1.010,1.470
2,5:04,1,10,GNB 38,7,14,Alex Green right end for 2 yards (tackle by Dan Williams),1.470,1.190
2,4:19,2,8,GNB 40,7,14,Alex Green right guard for 5 yards (tackle by O'Brien Schofield and Daryl Washington),1.190,1.160
2,3:39,3,3,GNB 45,7,14,Aaron Rodgers pass complete short left to James Jones for 7 yards (tackle by Jamell Fleming),1.160,2.390
2,3:12,1,10,ARI 48,7,14,Aaron Rodgers pass complete short left to Alex Green for 19 yards (tackle by Adrian Wilson),2.390,3.640
2,2:27,1,10,ARI 29,7,14,Aaron Rodgers pass complete short right to Jarrett Boykin for 1 yard (tackle by Patrick Peterson),3.640,3.240
2,2:00,2,9,ARI 28,7,20,"Aaron Rodgers pass complete deep left to James Jones for 28 yards, touchdown",3.240,7.000
2,2:00,,,ARI 2,7,21,Mason Crosby kicks extra point good,0.000,0.000
2,1:54,,,GNB 35,7,21,"Mason Crosby kicks off 71 yards, touchback",0.000,0.280
2,1:54,1,10,ARI 20,7,21,John Skelton pass complete short right to Larry Fitzgerald for 9 yards (tackle by Jerron McMillian and Casey Hayward),0.280,0.950
2,1:36,2,1,ARI 29,7,21,John Skelton pass complete short left to Larry Fitzgerald for 6 yards (tackle by Casey Hayward),0.950,1.270
2,1:14,1,10,ARI 35,7,21,LaRod Stephens-Howling up the middle for 6 yards (tackle by Morgan Burnett),1.270,1.530
2,1:07,2,4,ARI 41,7,21,John Skelton pass complete short right to Michael Floyd for 9 yards (tackle by Davon House and Morgan Burnett),1.530,2.260
2,0:44,1,10,,7,21,John Skelton sacked by Mike Daniels for -10 yards,2.260,0.000
2,0:37,,,,7,21,Timeout #2 by Arizona Cardinals,0.000,0.360
2,0:37,2,20,ARI 40,7,21,John Skelton pass incomplete deep right intended for Early Doucet (defended by M.D. Jennings),0.360,-0.300
2,0:33,3,20,ARI 40,7,21,John Skelton pass incomplete short middle intended for Early Doucet,-0.300,-0.720
2,0:29,4,20,ARI 40,7,21,"Dave Zastudil punts 45 yards, fair catch by Randall Cobb",-0.720,0.220
2,0:23,1,10,GNB 15,7,21,Aaron Rodgers kneels for -1 yards,-0.220,-0.820
Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,7,21,"Jay Feely kicks off 61 yards, returned by Randall Cobb for 44 yards (tackle by Michael Adams)",0.000,2.130
3,14:51,1,10,GNB 48,7,21,Alex Green right guard for 4 yards (tackle by O'Brien Schofield),2.130,2.120
3,14:22,2,6,ARI 48,7,21,Aaron Rodgers pass incomplete deep middle intended for Jermichael Finley,2.120,1.420
3,14:14,3,6,ARI 48,7,21,"Penalty on Quentin Groves: Neutral Zone Infraction, 5 yards (no play)",1.420,2.080
3,14:14,3,1,ARI 43,7,21,Aaron Rodgers pass incomplete short right intended for James Jones (defended by Patrick Peterson),2.080,0.400
3,14:11,4,1,ARI 43,7,21,"Tim Masthay punts 43 yards, touchback",0.400,-0.280
3,14:03,1,10,ARI 20,7,21,John Skelton pass incomplete short right intended for Rob Housler is intercepted by Erik Walden at ARI-19 and returned for 2 yards (tackle by Rob Housler),0.280,-4.440
3,13:57,1,10,ARI 17,7,21,Alex Green left end for 2 yards (tackle by Calais Campbell and Darnell Dockett),4.440,4.150
3,13:25,2,8,ARI 15,7,21,Aaron Rodgers pass incomplete short right intended for Alex Green,4.150,3.340
3,13:20,3,8,ARI 15,7,21,Aaron Rodgers pass incomplete short left intended for James Jones,3.340,2.440
3,13:16,4,8,ARI 15,7,24,Mason Crosby 33 yard field goal good,2.440,3.000
3,13:12,,,GNB 35,7,24,"Mason Crosby kicks off 69 yards, returned by William Powell for 31 yards (tackle by M.D. Jennings)",0.000,0.740
3,13:05,1,10,ARI 27,7,24,LaRod Stephens-Howling right tackle for 3 yards (tackle by C.J. Wilson),0.740,0.600
3,12:31,2,7,ARI 30,7,24,John Skelton pass incomplete deep left intended for Larry Fitzgerald,0.600,-0.100
3,12:25,3,7,ARI 30,7,24,John Skelton pass incomplete short right intended for Rob Housler,-0.100,-1.370
3,12:20,4,7,ARI 30,7,24,"Dave Zastudil punts 20 yards, out of bounds",-1.370,-2.260
3,12:14,1,10,,7,24,Alex Green right guard for 2 yards (tackle by Daryl Washington and Quentin Groves),2.260,1.980
3,11:43,2,8,ARI 48,7,24,Aaron Rodgers pass incomplete short right intended for Randall Cobb,1.980,1.290
3,11:36,3,8,ARI 48,7,24,Aaron Rodgers pass incomplete,1.290,0.070
3,11:26,4,8,ARI 48,7,24,"Tim Masthay punts 35 yards, muffed catch by Patrick Peterson, recovered by Patrick Peterson and returned for no gain",0.070,0.320
3,11:16,1,10,ARI 13,7,24,John Skelton pass complete short middle to Michael Floyd for 17 yards (tackle by Morgan Burnett),-0.320,0.940
3,10:41,1,10,ARI 30,7,24,John Skelton pass incomplete,0.940,0.390
3,10:33,2,10,ARI 30,7,24,John Skelton pass incomplete short left intended for Rob Housler (defended by Jerron McMillian),0.390,-0.300
3,10:29,3,10,ARI 30,7,24,John Skelton pass complete short right to Rob Housler for 11 yards (tackle by Casey Hayward),-0.300,1.660
3,9:54,1,10,ARI 41,7,24,John Skelton pass complete deep middle to Andre Roberts for 23 yards (tackle by Morgan Burnett),1.660,3.180
3,9:13,1,10,GNB 36,7,24,John Skelton pass incomplete short middle intended for Jeff King (defended by Dezman Moses),3.180,2.640
3,9:09,2,10,GNB 36,7,24,LaRod Stephens-Howling up the middle for 5 yards (tackle by C.J. Wilson),2.640,2.610
,,,,,,,"GNB challenged the runner was down by contact ruling, and the play was upheld.",,
3,8:30,3,5,GNB 31,13,24,"John Skelton pass complete short middle to Larry Fitzgerald for 31 yards, touchdown",2.610,7.000
3,8:30,,,GNB 2,14,24,Jay Feely kicks extra point good,0.000,0.000
3,8:21,,,ARI 35,14,24,"Jay Feely kicks off 66 yards, returned by Randall Cobb for 22 yards (tackle by Alfonso Smith)",0.000,0.340
3,8:14,1,10,GNB 21,14,24,Aaron Rodgers pass complete short right to Jarrett Boykin for 6 yards (tackle by Patrick Peterson),0.340,0.610
3,7:36,2,4,GNB 27,14,24,James Starks right end for 3 yards (tackle by Calais Campbell),0.610,0.300
3,6:57,3,1,GNB 30,14,24,Alex Green up the middle for no gain (tackle by Dan Williams),0.300,-1.370
3,6:09,4,1,GNB 30,14,24,"Tim Masthay punts 46 yards, fair catch by Patrick Peterson",-1.370,-0.540
3,6:01,1,10,ARI 24,14,24,LaRod Stephens-Howling right end for 11 yards (tackle by A.J. Hawk),0.540,1.270
3,5:27,1,10,ARI 35,14,24,John Skelton pass incomplete short left intended for LaRod Stephens-Howling,1.270,0.720
3,5:23,2,10,ARI 35,14,24,John Skelton pass complete short left to Rob Housler for 10 yards (tackle by Brad Jones and Dezman Moses),0.720,1.930
3,4:45,1,10,ARI 45,14,24,LaRod Stephens-Howling left tackle for 5 yards (tackle by Brad Jones),1.930,2.060
3,4:11,2,5,,14,24,John Skelton pass complete short left to Rob Housler for 22 yards (tackle by Brad Jones),2.060,3.710
3,3:49,1,10,GNB 28,14,24,John Skelton pass complete short right to Anthony Sherman for 3 yards (tackle by Jerron McMillian),3.710,3.570
3,3:07,2,7,GNB 25,14,24,John Skelton pass complete short left to Andre Roberts for 14 yards (tackle by Morgan Burnett and Jerron McMillian),3.570,0.000
3,2:24,,,,14,24,Timeout #1 by Arizona Cardinals,0.000,4.840
3,2:24,1,10,GNB 11,14,24,John Skelton pass incomplete short middle intended for Michael Floyd,4.840,4.140
3,2:20,2,10,GNB 11,14,24,John Skelton pass complete short right to Larry Fitzgerald for 9 yards (tackle by Tramon Williams),4.140,5.120
