Unnamed: 0,GNB,MIN
First Downs,24,25
Rush-Yds-TDs,16-72-0,37-217-1
Cmp-Att-Yd-TD-INT,28-40-365-4-0,16-28-234-3-0
Sacked-Yards,5-32,1-7
Net Pass Yards,333,227
Total Yards,405,444
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,7-43,10-98
Third Down Conv.,6-13,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,28:05,31:55
