Quarter,Time,Tm,Detail,GNB,MIN
1.0,10:47,Vikings,Blair Walsh 54 yard field goal,0,3
,5:44,Vikings,Adrian Peterson 7 yard rush (Blair Walsh kick),0,10
2.0,14:51,Vikings,Blair Walsh 37 yard field goal,0,13
,4:01,Packers,Greg Jennings 3 yard pass from Aaron Rodgers (Mason Crosby kick),7,13
,1:07,Vikings,Jarius Wright 8 yard pass from Christian Ponder (Blair Walsh kick),7,20
,0:00,Packers,Mason Crosby 51 yard field goal,10,20
3.0,11:56,Packers,Greg Jennings 5 yard pass from Aaron Rodgers (Mason Crosby kick),17,20
,4:00,Vikings,Adrian Peterson 2 yard pass from Christian Ponder (Blair Walsh kick),17,27
,2:04,Packers,James Jones 8 yard pass from Aaron Rodgers (Mason Crosby kick),24,27
4.0,12:21,Packers,Mason Crosby 40 yard field goal,27,27
,7:54,Vikings,Michael Jenkins 3 yard pass from Christian Ponder (Blair Walsh kick),27,34
,2:54,Packers,Jordy Nelson 2 yard pass from Aaron Rodgers (Mason Crosby kick),34,34
,0:00,Vikings,Blair Walsh 29 yard field goal,34,37
