Unnamed: 0,SEA,NOR
First Downs,15,26
Rush-Yds-TDs,21-151-1,48-235-3
Cmp-Att-Yd-TD-INT,16-25-268-3-0,17-25-209-2-1
Sacked-Yards,3-23,1-6
Net Pass Yards,245,203
Total Yards,396,438
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,12-85,6-57
Third Down Conv.,1-9,8-14
Fourth Down Conv.,0-1,0-0
Time of Possession,22:25,37:35
