Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
1,6:01,1,10,NOR 29,7,3,Alvin Kamara right tackle for no gain (tackle by Al Woods),0.870,0.330
1,5:18,2,10,NOR 29,7,3,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by Jordyn Brooks),0.330,-0.360
1,5:14,3,10,NOR 29,7,3,"Penalty on Darrell Taylor: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.360,0.300
1,5:14,3,5,NOR 34,7,3,Andy Dalton pass complete short right to Marquez Callaway for 1 yard (tackle by Ryan Neal),0.300,-1.040
1,4:33,4,4,NOR 35,7,3,"Penalty on J.T. Gray: False Start, 5 yards (accepted) (no play)",-1.040,-1.370
1,4:17,4,9,NOR 30,7,3,"Blake Gillikin punts 44 yards, fair catch by Tyler Lockett at SEA-26",-1.370,-0.670
1,4:10,1,10,SEA 26,7,3,Geno Smith pass incomplete short left intended for Noah Fant (defended by Paulson Adebo),0.670,0.130
1,4:05,2,10,SEA 26,7,3,Rashaad Penny right end for 32 yards (tackle by Demario Davis),0.130,2.790
1,3:26,1,10,NOR 42,7,3,Kenneth Walker right end for 3 yards (tackle by Demario Davis),2.790,2.650
1,2:40,2,7,NOR 39,7,3,"Geno Smith pass incomplete deep left intended for D.K. Metcalf. Penalty on D.K. Metcalf: Offensive Pass Interference, 10 yards (offset) . Penalty on Paulson Adebo: Defensive Holding, 5 yards (offset) (no play)",2.650,2.650
1,2:34,2,7,NOR 39,7,3,Kenneth Walker right guard for 2 yards (tackle by Paulson Adebo),2.650,2.210
1,1:55,3,5,NOR 37,7,3,Geno Smith right guard for -1 yards (tackle by Cameron Jordan),2.210,0.720
1,1:18,4,6,NOR 38,10,3,Jason Myers 56 yard field goal good,0.720,3.000
1,1:13,,,SEA 35,10,3,"Jason Myers kicks off 59 yards, returned by Taysom Hill for 25 yards. Taysom Hill fumbles (forced by DeeJay Dallas) (tackle by Cullen Gillaspia), recovered by Taysom Hill at NO-31 (tackle by Cullen Gillaspia) (tackle by DeeJay Dallas) (tackle by DeeJay Dallas) (tackle by Cullen Gillaspia)",0.000,1.000
1,1:06,1,10,NOR 31,10,3,Mark Ingram left guard for 4 yards (tackle by Darrell Taylor and Cody Barton),1.000,1.000
1,0:34,2,6,NOR 35,10,3,Mark Ingram right guard for 1 yard (tackle by Uchenna Nwosu),1.000,0.430
Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,NOR 36,10,3,"Penalty on Uchenna Nwosu: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.430,1.660
2,15:00,1,10,NOR 41,10,3,Andy Dalton pass complete short right to Alvin Kamara for 8 yards (tackle by Cody Barton),1.660,2.200
2,14:15,2,2,NOR 49,10,3,Andy Dalton pass incomplete deep right intended for Marquez Callaway,2.200,1.490
2,14:11,3,2,NOR 49,10,3,Alvin Kamara left end for 3 yards (tackle by Jordyn Brooks),1.490,2.390
2,13:36,1,10,SEA 48,10,3,Andy Dalton pass complete short middle to Juwan Johnson for 13 yards (tackle by Jordyn Brooks),2.390,3.250
2,12:53,1,10,SEA 35,10,3,Taysom Hill up the middle for 15 yards (tackle by Ryan Neal),3.250,4.240
2,12:15,1,10,SEA 20,10,3,Alvin Kamara left guard for 8 yards (tackle by Uchenna Nwosu and Cody Barton),4.240,5.040
2,11:36,2,2,SEA 12,10,3,Alvin Kamara left guard for 4 yards (tackle by Jordyn Brooks and Ryan Neal),5.040,5.370
2,10:59,1,8,SEA 8,10,9,"Taysom Hill right guard for 8 yards, touchdown",5.370,7.000
2,10:54,,,SEA 15,10,10,Wil Lutz kicks extra point good,0.000,0.000
2,10:54,,,NOR 35,10,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,10:54,1,10,SEA 25,10,10,Geno Smith pass complete short left to Will Dissly for 6 yards (tackle by Pete Werner),0.610,0.870
2,10:19,2,4,SEA 31,10,10,Rashaad Penny right guard for 2 yards (tackle by Tyrann Mathieu and Pete Werner),0.870,0.430
2,9:34,3,2,SEA 33,10,10,Geno Smith sacked by Cameron Jordan for -9 yards,0.430,-1.770
2,8:54,4,11,SEA 24,10,10,"Michael Dickson punts 44 yards, returned by Marquez Callaway for 4 yards (tackle by Nick Bellore)",-1.770,-1.330
2,8:43,1,10,NOR 36,10,10,"Andy Dalton sacked by Al Woods for -6 yards Penalty on NOR: Illegal Motion, 5 yards (declined)",1.330,-0.020
2,8:16,2,16,NOR 30,10,10,Mark Ingram left tackle for 2 yards (tackle by Cody Barton),-0.020,-0.430
2,7:38,3,14,NOR 32,10,10,Andy Dalton pass complete short right to Adam Trautman for 10 yards (tackle by Quandre Diggs),-0.430,-0.590
2,6:52,4,4,NOR 42,10,10,"Blake Gillikin punts 58 yards, touchback.",-0.590,-0.280
2,6:43,1,10,SEA 20,10,10,Rashaad Penny left guard for 1 yard (tackle by Carl Granderson and Malcolm Roach),0.280,-0.130
2,6:06,2,9,SEA 21,10,10,Rashaad Penny right guard for 3 yards (tackle by Carl Granderson and Tyrann Mathieu),-0.130,-0.430
2,5:20,3,6,SEA 24,10,10,Geno Smith pass complete short middle to Noah Fant for 2 yards (tackle by Paulson Adebo),-0.430,-1.630
2,4:38,4,4,SEA 26,10,10,"Penalty on Carson Tinker: False Start, 5 yards (accepted) (no play)",-1.630,-1.960
2,4:28,4,9,SEA 21,10,10,Michael Dickson right end for -8 yards (tackle by Carl Granderson and Dwayne Washington),-1.960,-4.710
2,4:19,1,10,SEA 13,10,10,Alvin Kamara left guard for 4 yards (tackle by Jordyn Brooks),4.710,4.770
2,3:39,2,6,SEA 9,10,16,"Taysom Hill left end for 9 yards, touchdown",4.770,7.000
2,3:34,,,SEA 15,10,17,Wil Lutz kicks extra point good,0.000,0.000
2,3:34,,,NOR 35,10,17,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,3:34,1,10,SEA 25,10,17,Geno Smith pass incomplete short left intended for Noah Fant,0.610,0.060
2,3:31,2,10,SEA 25,10,17,Geno Smith pass complete short middle to Will Dissly for 15 yards (tackle by Paulson Adebo and Justin Evans),0.060,1.600
2,2:59,1,10,SEA 40,10,17,Geno Smith pass complete deep left to Noah Fant for 32 yards (tackle by Justin Evans),1.600,3.710
2,2:22,1,10,NOR 28,10,17,Geno Smith pass incomplete short left intended for D.K. Metcalf,3.710,3.170
2,2:16,2,10,NOR 28,10,17,Geno Smith scrambles left end for 13 yards (tackle by Pete Werner),3.170,4.580
2,2:00,1,10,NOR 15,10,17,Geno Smith pass incomplete short right,4.580,3.950
2,1:55,2,10,NOR 15,10,17,Kenneth Walker right end for 2 yards (tackle by Justin Evans),3.950,3.400
2,1:50,,,,,,Timeout #2 by New Orleans Saints,,
2,1:50,3,8,NOR 13,10,17,Geno Smith pass incomplete short left intended for D.K. Metcalf,3.400,2.570
2,1:46,4,8,NOR 13,13,17,Jason Myers 31 yard field goal good,2.570,3.000
2,1:42,,,SEA 35,13,17,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,1:42,1,10,NOR 25,13,17,Andy Dalton pass complete short left to Alvin Kamara for 11 yards (tackle by Tariq Woolen),0.610,1.330
2,1:37,1,10,NOR 36,13,17,Alvin Kamara up the middle for 13 yards (tackle by Josh Jones),1.330,2.190
2,1:19,1,10,NOR 49,13,17,Andy Dalton pass complete short right to Chris Olave for 9 yards (tackle by Michael Jackson),2.190,2.860
2,0:59,2,1,SEA 42,13,17,Andy Dalton pass incomplete short right intended for Chris Olave (defended by Michael Jackson),2.860,2.150
2,0:47,3,1,SEA 42,13,17,Andy Dalton up the middle for 3 yards (tackle by Poona Ford),2.150,2.980
2,0:35,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:35,1,10,SEA 39,13,17,"Andy Dalton pass complete short left to Tre'Quan Smith for no gain (tackle by Coby Bryant). Penalty on James Hurst: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",2.980,2.320
2,0:30,1,20,SEA 49,13,17,"Andy Dalton pass complete to Alvin Kamara for 6 yards. Alvin Kamara fumbles (forced by Coby Bryant), recovered by Tariq Woolen at SEA-43 and returned for 7 yards. Tariq Woolen fumbles (forced by Chris Olave). Tariq Woolen fumbles out of bounds (tackle by Ryan Neal and Coby Bryant)",2.320,-2.260
2,0:20,1,10,NOR 50,13,17,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Paulson Adebo),2.260,2.980
2,0:16,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:16,1,10,NOR 39,13,17,DeeJay Dallas right guard for 4 yards (tackle by David Onyemata and Kaden Elliss),2.980,2.980
2,0:14,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:14,2,6,NOR 35,19,17,"Geno Smith pass complete deep middle to Tyler Lockett for 35 yards, touchdown",2.980,7.000
2,0:07,,,NOR 15,19,17,Jason Myers kicks extra point no good,0.000,-1.000
2,0:07,,,SEA 35,19,17,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,0:07,1,10,NOR 25,19,17,Andy Dalton kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,19,17,"Wil Lutz kicks off 63 yards, returned by DeeJay Dallas for 21 yards (tackle by Andrew Dowell)",0.000,0.480
3,14:55,1,10,SEA 23,19,17,"Geno Smith pass complete short left to D.K. Metcalf for 8 yards. D.K. Metcalf fumbles (forced by Pete Werner) (tackle by Justin Evans), recovered by David Onyemata at SEA-31 Replay Assistant challenged the fumble ruling, and the play was upheld.",0.480,-3.510
3,14:50,1,10,SEA 31,19,17,Alvin Kamara right end for 2 yards (tackle by Cody Barton and Poona Ford),3.510,3.240
3,14:13,2,8,SEA 29,19,17,Alvin Kamara right tackle for 7 yards (tackle by Cody Barton and Al Woods),3.240,3.470
3,13:33,3,1,SEA 22,19,17,Taysom Hill right tackle for 5 yards (tackle by Cody Barton),3.470,4.440
3,12:54,1,10,SEA 17,19,17,Andy Dalton pass incomplete intended for Adam Trautman (defended by Ryan Neal),4.440,3.850
3,12:48,2,10,SEA 17,19,17,Alvin Kamara left end for 1 yard (tackle by Quandre Diggs),3.850,3.190
3,12:07,3,9,SEA 16,19,23,"Andy Dalton pass incomplete deep right intended for Chris Olave (defended by Coby Bryant) NOR challenged the pass completion ruling, and the original play was overturned. Andy Dalton pass complete deep right to Chris Olave for 16 yards, touchdown",3.190,7.000
3,12:03,,,SEA 15,19,24,Wil Lutz kicks extra point good,0.000,0.000
3,12:03,,,NOR 35,19,24,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,12:03,1,10,SEA 25,19,24,Geno Smith pass complete short right to Tyler Lockett for 8 yards (tackle by Paulson Adebo),0.610,1.140
3,11:31,2,2,SEA 33,19,24,"Rashaad Penny for 6 yards (tackle by Marcus Davenport and Kaden Elliss). Penalty on Shy Tuttle: Defensive Holding, 5 yards (accepted)",1.140,1.860
3,11:10,1,10,SEA 44,19,24,Geno Smith pass incomplete intended for D.K. Metcalf (defended by Marshon Lattimore),1.860,1.320
3,11:05,2,10,SEA 44,19,24,Geno Smith pass incomplete deep right intended for Tyler Lockett,1.320,0.630
3,11:00,3,10,SEA 44,19,24,"Penalty on Abraham Lucas: False Start, 5 yards (accepted) (no play)",0.630,-0.030
3,11:00,3,15,SEA 39,19,24,Geno Smith scrambles left guard for 1 yard (tackle by Pete Werner),-0.030,-0.720
3,10:17,4,14,SEA 40,19,24,"Michael Dickson punts 49 yards, fair catch by Marquez Callaway at NO-11. Penalty on Carson Tinker: Offensive Holding, 10 yards (accepted)",-0.720,-0.340
3,10:10,1,10,NOR 21,19,24,Mark Ingram right tackle for 4 yards (tackle by Ryan Neal and Jordyn Brooks),0.340,0.340
3,9:37,2,6,NOR 25,19,24,Taysom Hill right end for 7 yards (tackle by Jordyn Brooks),0.340,1.070
3,9:00,1,10,NOR 32,19,24,Mark Ingram left end for 1 yard (tackle by Quandre Diggs),1.070,0.660
3,8:22,2,9,NOR 33,19,24,Andy Dalton pass complete short left to Alvin Kamara for 5 yards (tackle by Jordyn Brooks),0.660,0.630
3,7:35,3,4,NOR 38,19,24,Andy Dalton pass incomplete short right intended for Tre'Quan Smith,0.630,-0.850
3,7:29,4,4,NOR 38,19,24,"Blake Gillikin punts 62 yards, touchback.",-0.850,-0.280
3,7:19,1,10,SEA 20,19,24,Kenneth Walker left guard for 1 yard (tackle by Demario Davis and Malcolm Roach),0.280,-0.130
3,6:57,2,9,SEA 21,19,24,Geno Smith pass incomplete short right intended for Will Dissly,-0.130,-0.820
3,6:53,3,9,SEA 21,19,24,Geno Smith pass complete short left to DeeJay Dallas for 6 yards (tackle by Tyrann Mathieu),-0.820,-1.570
3,6:07,4,3,SEA 27,19,24,"Michael Dickson punts 55 yards, returned by Marquez Callaway for 21 yards (tackle by Joey Blount)",-1.570,-1.530
3,5:54,1,10,NOR 39,19,24,Alvin Kamara for 1 yard (tackle by Boye Mafe),1.530,1.120
3,5:17,2,9,NOR 40,19,24,"Penalty on Andrus Peat: False Start, 5 yards (accepted) (no play)",1.120,0.450
3,5:04,2,14,NOR 35,19,24,Andy Dalton pass short left intended for Tre'Quan Smith is intercepted by Tariq Woolen at NO-48 and returned for no gain (tackle by Tre'Quan Smith),0.450,-2.390
3,4:58,1,10,NOR 48,19,24,Geno Smith pass complete short right to D.K. Metcalf for 14 yards (tackle by Tyrann Mathieu and Pete Werner),2.390,3.310
3,4:29,1,10,NOR 34,19,24,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,3.310,2.770
3,4:24,2,10,NOR 34,19,24,"Penalty on Tyler Lockett: False Start, 5 yards (accepted) (no play)",2.770,2.090
3,4:24,2,15,NOR 39,19,24,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Paulson Adebo),2.090,2.350
3,3:46,3,8,NOR 32,19,24,"Geno Smith pass complete deep left to D.K. Metcalf for no gain, touchdown. Penalty on Charles Cross: Offensive Holding, 10 yards (accepted) (no play)",2.350,1.030
3,3:38,3,18,NOR 42,19,24,Geno Smith sacked by J.T. Gray for no gain,1.030,0.460
3,2:52,4,18,NOR 42,19,24,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.460,0.130
3,2:52,4,23,NOR 47,19,24,"Michael Dickson punts 36 yards, fair catch by Marquez Callaway at NO-11. Penalty on Isaiah Dunn: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.130,-0.340
3,2:46,1,10,NOR 21,19,24,Mark Ingram left guard for 1 yard (tackle by Darrell Taylor),0.340,-0.070
3,2:12,2,9,NOR 22,19,24,Andy Dalton pass complete short left to Alvin Kamara for 54 yards (tackle by Coby Bryant),-0.070,3.970
3,1:22,1,10,SEA 24,19,24,Mark Ingram up the middle for 2 yards (tackle by Quinton Jefferson),3.970,3.700
3,0:41,2,8,SEA 22,19,30,"Taysom Hill pass complete deep middle to Adam Trautman for 22 yards, touchdown",3.700,7.000
3,0:36,,,SEA 15,19,31,Wil Lutz kicks extra point good,0.000,0.000
3,0:36,,,NOR 35,19,31,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,0:36,1,10,SEA 25,19,31,Kenneth Walker right tackle for 3 yards (tackle by Kentavius Street and Kaden Elliss),0.610,0.470
Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,SEA 28,19,31,"Penalty on Austin Blythe: False Start, 5 yards (accepted) (no play)",0.470,-0.210
4,15:00,2,12,SEA 23,19,31,"Geno Smith pass incomplete short left intended for D'Wayne Eskridge. Penalty on Marshon Lattimore: Defensive Pass Interference, 27 yards (accepted) (no play)",-0.210,2.260
4,14:55,1,10,SEA 50,19,31,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by Paulson Adebo),2.260,2.920
4,14:16,1,10,NOR 40,25,31,"Geno Smith pass complete deep middle to Tyler Lockett for 40 yards, touchdown",2.920,7.000
4,14:08,,,NOR 2,25,31,Two Point Attempt: Geno Smith pass incomplete intended for D.K. Metcalf,1.000,-1.000
4,14:08,,,SEA 35,25,31,"Jason Myers kicks off 60 yards, returned by Taysom Hill for 18 yards (tackle by Xavier Crawford)",0.000,0.480
4,14:03,1,10,NOR 23,25,31,Alvin Kamara left tackle for 7 yards (tackle by Cody Barton),0.480,0.880
4,13:29,2,3,NOR 30,25,31,Alvin Kamara left tackle for 3 yards (tackle by Bryan Mone),0.880,1.140
4,12:53,1,10,NOR 33,25,31,Andy Dalton pass complete short right to Alvin Kamara for 7 yards (tackle by Shelby Harris and Quandre Diggs),1.140,1.540
4,12:15,2,3,NOR 40,25,31,Mark Ingram right guard for no gain (tackle by Jordyn Brooks and Bryan Mone),1.540,0.830
4,11:38,3,3,NOR 40,25,31,Andy Dalton pass complete short left to Marquez Callaway for 4 yards (tackle by Tariq Woolen),0.830,1.860
4,10:55,1,10,NOR 44,25,31,Taysom Hill left tackle for 1 yard (tackle by Jordyn Brooks and Bryan Mone),1.860,1.450
4,10:14,2,9,NOR 45,25,31,Andy Dalton pass incomplete deep right intended for Tre'Quan Smith,1.450,0.760
4,10:08,3,9,NOR 45,25,31,"Andy Dalton pass complete short right to Adam Trautman for no gain (tackle by Ryan Neal). Penalty on Tariq Woolen: Defensive Holding, 5 yards (accepted) (no play)",0.760,2.260
4,9:41,1,10,NOR 50,25,31,Alvin Kamara left end for 3 yards (tackle by Tariq Woolen and Quandre Diggs),2.260,2.120
4,9:15,2,7,SEA 47,25,31,Andy Dalton pass complete to Keith Kirkwood for 4 yards (tackle by Jordyn Brooks),2.120,1.950
4,8:35,3,3,SEA 43,25,31,Mark Ingram right guard for 1 yard (tackle by Uchenna Nwosu),1.950,0.460
4,7:48,4,2,SEA 42,25,31,"Penalty on Juwan Johnson: False Start, 5 yards (accepted) (no play)",0.460,0.130
4,7:48,4,7,SEA 47,25,31,Blake Gillikin punts 25 yards out of bounds,0.130,-0.410
4,7:40,1,10,SEA 22,25,31,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Bradley Roby),0.410,1.080
4,7:04,2,1,SEA 31,31,31,"Kenneth Walker left guard for 69 yards, touchdown",1.080,7.000
4,6:54,,,NOR 15,32,31,Jason Myers kicks extra point good,0.000,0.000
4,6:54,,,SEA 35,32,31,"Jason Myers kicks off 60 yards, returned by Taysom Hill for 26 yards (tackle by DeeJay Dallas)",0.000,1.000
4,6:48,1,10,NOR 31,32,31,Alvin Kamara right tackle for 6 yards (tackle by Cody Barton and Ryan Neal),1.000,1.270
4,6:13,2,4,NOR 37,32,31,Alvin Kamara right tackle for 3 yards (tackle by Cody Barton),1.270,0.960
4,5:33,3,1,NOR 40,32,37,"Taysom Hill left tackle for 60 yards, touchdown",0.960,7.000
4,5:22,,,SEA 2,32,39,"Two Point Attempt: Mark Ingram rushes, conversion succeeds.",1.000,1.000
4,5:22,,,NOR 35,32,39,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,5:22,1,10,SEA 25,32,39,Kenneth Walker right tackle for 6 yards (tackle by Shy Tuttle and Paulson Adebo),0.610,0.870
4,4:57,2,4,SEA 31,32,39,Kenneth Walker left tackle for 2 yards (tackle by Marcus Davenport),0.870,0.430
4,4:15,3,2,SEA 33,32,39,Geno Smith sacked by Cameron Jordan for -14 yards,0.430,-2.140
4,3:28,4,16,SEA 19,32,39,"Michael Dickson punts 49 yards, fair catch by Marquez Callaway at NO-32",-2.140,-1.070
4,3:21,1,10,NOR 32,32,39,Alvin Kamara right guard for 4 yards (tackle by Michael Jackson),1.070,1.070
4,3:16,,,,,,Timeout #1 by Seattle Seahawks,,
4,3:16,2,6,NOR 36,32,39,Alvin Kamara right tackle for 2 yards (tackle by Uchenna Nwosu),1.070,0.630
4,3:10,,,,,,Timeout #2 by Seattle Seahawks,,
4,3:10,3,4,NOR 38,32,39,Andy Dalton pass complete short right to Tre'Quan Smith for 10 yards (tackle by Quandre Diggs),0.630,2.130
4,2:24,1,10,NOR 48,32,39,Alvin Kamara up the middle for 4 yards (tackle by Myles Adams and Bryan Mone),2.130,2.120
4,2:00,2,6,SEA 48,32,39,Alvin Kamara right guard for 10 yards (tackle by Quandre Diggs and Jordyn Brooks),2.120,3.050
4,1:53,,,,,,Timeout #3 by Seattle Seahawks,,
4,1:53,,,,,,Timeout #1 by New Orleans Saints,,
4,1:53,1,10,SEA 38,32,39,Andy Dalton kneels for -1 yards,3.050,2.370
4,1:13,2,11,SEA 39,32,39,Andy Dalton kneels for no gain,2.370,1.680
4,0:36,3,11,SEA 39,32,39,Andy Dalton kneels for -1 yards,1.680,0.590
4,0:31,4,12,SEA 40,32,39,"Penalty on Uchenna Nwosu: Personal Foul / Defense, 15 yards (accepted) (no play)",0.590,3.910
4,0:31,1,10,SEA 25,32,39,Andy Dalton kneels for -1 yards,3.910,3.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
