Unnamed: 0,MIN,CHI
First Downs,15,18
Rush-Yds-TDs,22-70-0,37-130-0
Cmp-Att-Yd-TD-INT,18-31-170-1-3,22-35-237-3-2
Sacked-Yards,1-0,2-7
Net Pass Yards,170,230
Total Yards,240,360
Fumbles-Lost,1-1,0-0
Turnovers,4,2
Penalties-Yards,2-19,11-116
Third Down Conv.,1-9,11-19
Fourth Down Conv.,0-0,0-0
Time of Possession,25:21,34:39
