Quarter,Time,Tm,Detail,CLE,LAC
1.0,7:39,Browns,Chase McLaughlin 35 yard field goal,3,0
,2:44,Chargers,Donald Parham 22 yard pass from Justin Herbert (Tristan Vizcaino kick),3,7
2.0,12:46,Browns,Rashard Higgins 7 yard pass from Baker Mayfield (Chase McLaughlin kick),10,7
,11:43,Chargers,Mike Williams 72 yard pass from Justin Herbert (Tristan Vizcaino kick failed),10,13
,0:54,Browns,Kareem Hunt 3 yard rush (Chase McLaughlin kick),17,13
,0:00,Browns,Chase McLaughlin 31 yard field goal,20,13
3.0,12:18,Browns,Nick Chubb 52 yard rush (Chase McLaughlin kick),27,13
,6:25,Chargers,Justin Herbert 9 yard rush (Donald Parham pass from Justin Herbert),27,21
4.0,11:22,Chargers,Mike Williams 42 yard pass from Justin Herbert (Tristan Vizcaino kick),27,28
,10:40,Browns,David Njoku 71 yard pass from Baker Mayfield (Austin Hooper pass from Baker Mayfield),35,28
,7:24,Chargers,Austin Ekeler 4 yard rush (Tristan Vizcaino kick),35,35
,4:45,Browns,Kareem Hunt 8 yard rush (Chase McLaughlin kick),42,35
,3:15,Chargers,Austin Ekeler 19 yard pass from Justin Herbert (Tristan Vizcaino kick failed),42,41
,1:31,Chargers,Austin Ekeler 3 yard rush (run failed),42,47
