Unnamed: 0,CLE,LAC
First Downs,25,27
Rush-Yds-TDs,35-230-3,23-112-3
Cmp-Att-Yd-TD-INT,23-32-305-2-0,26-43-398-4-0
Sacked-Yards,1-4,2-17
Net Pass Yards,301,381
Total Yards,531,493
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,7-77,6-49
Third Down Conv.,4-12,6-13
Fourth Down Conv.,1-3,3-3
Time of Possession,36:28,23:32
