Unnamed: 0,DET,GNB
First Downs,16,22
Rush-Yds-TDs,26-45-0,18-47-0
Cmp-Att-Yd-TD-INT,24-38-242-2-1,35-61-333-2-0
Sacked-Yards,0-0,3-8
Net Pass Yards,242,325
Total Yards,287,372
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,3-35,5-55
Third Down Conv.,5-16,9-19
Fourth Down Conv.,1-1,0-0
Time of Possession,30:40,29:20
