Unnamed: 0,PHI,DAL
First Downs,20,16
Rush-Yds-TDs,26-105-0,23-81-0
Cmp-Att-Yd-TD-INT,18-32-293-2-0,24-40-182-1-0
Sacked-Yards,2-12,3-25
Net Pass Yards,281,157
Total Yards,386,238
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,5-47,6-47
Third Down Conv.,5-13,6-17
Fourth Down Conv.,0-0,1-2
Time of Possession,27:37,32:23
