Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 51 yards, returned by Justin Miller for 13 yards (tackle by Cameron Worrell)",0.000,1.070
1,14:54,1,10,NYJ 32,0,0,Leon Washington left end for 9 yards (tackle by Danieal Manning),1.070,1.740
1,14:29,2,1,NYJ 41,0,0,Kevan Barlow left guard for -1 yards (tackle by Rod Wilson and Todd Johnson),1.740,0.890
1,13:44,,,,0,0,Timeout #1 by New York Jets,0.000,0.890
1,13:44,3,2,NYJ 40,0,0,Tim Dwight left end for 28 yards (tackle by Nathan Vasher and Danieal Manning),0.890,3.450
1,12:55,1,10,CHI 32,0,0,Kevan Barlow right end for -1 yards (tackle by Hunter Hillenmeyer and Adewale Ogunleye),3.450,2.770
1,12:15,2,11,CHI 33,0,0,"Chad Pennington pass complete short middle to Kevan Barlow for 5 yards (tackle by Charles Tillman). Penalty on Pete Kendall: Offensive Holding, 10 yards (no play)",2.770,1.420
1,11:45,2,21,CHI 43,0,0,Chad Pennington pass complete short right to Laveranues Coles for 11 yards (tackle by Ricky Manning and Nathan Vasher),1.420,2.210
1,11:04,3,10,CHI 32,0,0,Leon Washington left tackle for -2 yards (tackle by Brian Urlacher),2.210,1.060
1,11:04,4,12,CHI 34,0,0,"Ben Graham punts 34 yards, touchback",1.060,-0.280
1,10:20,1,10,CHI 20,0,0,Rex Grossman pass complete short right to Thomas Jones for 3 yards (tackle by Bryan Thomas),0.280,0.140
1,9:56,2,7,CHI 23,0,0,Thomas Jones left guard for 5 yards (tackle by Kerry Rhodes and Jonathan Vilma),0.140,0.100
1,9:19,3,2,CHI 28,0,0,Thomas Jones right tackle for 5 yards (tackle by Kerry Rhodes and Erik Coleman),0.100,1.140
1,8:43,1,10,CHI 33,0,0,Thomas Jones right guard for 4 yards (tackle by Bryan Thomas and Jonathan Vilma),1.140,1.130
1,8:14,2,6,CHI 37,0,0,Thomas Jones left guard for 2 yards (tackle by Victor Hobson and Eric Barton),1.130,0.700
1,7:38,3,4,CHI 39,0,0,Rex Grossman pass incomplete short right intended for Rashied Davis,0.700,-0.780
1,7:32,4,4,CHI 39,0,0,"Brad Maynard punts 37 yards, fair catch by Tim Dwight",-0.780,-0.540
1,7:25,1,10,NYJ 24,0,0,Leon Washington middle for 16 yards (tackle by Todd Johnson and Danieal Manning),0.540,1.600
1,6:54,1,10,NYJ 40,0,0,Leon Washington right end for 5 yards (tackle by Charles Tillman and Todd Johnson),1.600,1.730
1,6:27,2,5,NYJ 45,0,0,Cedric Houston right tackle for 2 yards (tackle by Ricky Manning and Brian Urlacher),1.730,1.290
1,5:45,3,3,NYJ 47,0,0,Chad Pennington pass incomplete short left intended for Jerricho Cotchery,1.290,-0.260
1,5:39,4,3,NYJ 47,0,0,"Ben Graham punts 53 yards, touchback",-0.260,-0.280
1,5:30,1,10,CHI 20,0,0,"Penalty on Roberto Garza: False Start, 5 yards (no play)",0.280,-0.310
1,5:30,1,15,CHI 15,0,0,Thomas Jones left tackle for 13 yards (tackle by Erik Coleman),-0.310,0.810
1,4:54,2,2,CHI 28,0,0,Thomas Jones right tackle for 6 yards (tackle by Eric Barton and Andre Dyson),0.810,1.200
1,4:19,1,10,CHI 34,0,0,Rex Grossman pass complete short left to Thomas Jones for -2 yards (tackle by Victor Hobson),1.200,0.390
1,3:39,2,12,CHI 32,0,0,Rex Grossman pass complete short right to Muhsin Muhammad for 1 yard (tackle by Eric Barton and Dewayne Robertson),0.390,-0.160
1,2:56,3,11,CHI 33,0,0,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by Shaun Ellis),-0.160,-1.180
1,2:50,4,11,CHI 33,0,0,"Brad Maynard punts 43 yards, fair catch by Tim Dwight",-1.180,-0.540
1,2:43,1,10,NYJ 24,0,0,Chad Pennington pass complete short left to Laveranues Coles for 14 yards (tackle by Danieal Manning and Todd Johnson),0.540,1.470
1,2:32,1,10,NYJ 38,0,0,Cedric Houston right guard for 9 yards (tackle by Alex Brown and Todd Johnson),1.470,2.140
1,2:04,2,1,NYJ 47,0,0,Cedric Houston middle for 4 yards (tackle by Todd Johnson and Brian Urlacher),2.140,2.320
1,1:32,1,10,CHI 49,0,0,Chad Pennington pass complete short left to Laveranues Coles for 6 yards (tackle by Nathan Vasher),2.320,2.590
1,0:53,2,4,CHI 43,0,0,Leon Washington right end for -2 yards (tackle by Lance Briggs),2.590,1.620
