Unnamed: 0,CHI,NYJ
First Downs,12,15
Rush-Yds-TDs,35-173-0,30-108-0
Cmp-Att-Yd-TD-INT,11-22-119-1-0,19-35-162-0-2
Sacked-Yards,1-8,2-6
Net Pass Yards,111,156
Total Yards,284,264
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,10-65,6-40
Third Down Conv.,4-14,6-17
Fourth Down Conv.,1-1,1-2
Time of Possession,28:06,31:54
