Quarter,Time,Tm,Detail,CHI,NYJ
3,10:39,Bears,Robbie Gould 20 yard field goal,3,0
4,14:50,Bears,Mark Bradley 57 yard pass from Rex Grossman (Robbie Gould kick),10,0
