Quarter,Time,Tm,Detail,MIN,SFO
2.0,0:47,49ers,Carlos Hyde 10 yard rush (Phil Dawson kick),0,7
3.0,4:32,49ers,Phil Dawson 30 yard field goal,0,10
4.0,14:43,Vikings,Blair Walsh 37 yard field goal,3,10
,9:30,49ers,Carlos Hyde 17 yard rush (Phil Dawson kick),3,17
,6:08,49ers,Phil Dawson 25 yard field goal,3,20
