Unnamed: 0,MIN,SFO
First Downs,17,25
Rush-Yds-TDs,17-71-0,39-230-2
Cmp-Att-Yd-TD-INT,23-32-231-0-1,17-26-165-0-0
Sacked-Yards,5-54,1-0
Net Pass Yards,177,165
Total Yards,248,395
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,5-25,8-57
Third Down Conv.,1-9,5-12
Fourth Down Conv.,0-2,0-0
Time of Possession,26:58,33:02
