Unnamed: 0,JAX,NYG
First Downs,16,26
Rush-Yds-TDs,20-126-0,35-177-2
Cmp-Att-Yd-TD-INT,23-38-230-2-0,20-28-228-1-0
Sacked-Yards,2-27,3-11
Net Pass Yards,203,217
Total Yards,329,394
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,8-63,7-59
Third Down Conv.,5-14,5-12
Fourth Down Conv.,3-5,1-1
Time of Possession,26:56,33:04
