Quarter,Time,Tm,Detail,JAX,NYG
1.0,10:54,Giants,Tiki Barber 2 yard rush (Matt Bryant kick),0,7
2.0,0:09,Giants,Ron Dixon 8 yard pass from Kerry Collins (Matt Bryant kick),0,14
3.0,11:54,Giants,Matt Bryant 27 yard field goal,0,17
,7:18,Giants,Tiki Barber 44 yard rush (Matt Bryant kick),0,24
,3:16,Jaguars,Tim Seder 24 yard field goal,3,24
4.0,5:20,Jaguars,Bobby Shaw 14 yard pass from Mark Brunell (Tim Seder kick),10,24
,1:47,Jaguars,Jimmy Smith 9 yard pass from Mark Brunell (Tim Seder kick),17,24
