Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Shayne Graham kicks off 68 yards, returned by Deji Karim for 28 yards (tackle by Roc Carmichael)",0.000,0.610
1,14:54,1,10,IND 25,0,0,Vick Ballard up the middle for -1 yards (tackle by J.J. Watt),0.610,-0.070
1,14:17,2,11,IND 24,0,0,Andrew Luck pass complete short right to Reggie Wayne for 17 yards (tackle by Glover Quin),-0.070,1.660
1,13:34,1,10,IND 41,0,0,Andrew Luck pass complete short left to Vick Ballard for 9 yards (tackle by Bradie James),1.660,2.340
1,13:09,2,1,,0,0,Vick Ballard left end for 7 yards (tackle by Antonio Smith),2.340,2.720
1,12:29,1,10,HOU 43,0,0,Andrew Luck pass incomplete short left intended for Donnie Avery,2.720,2.180
1,12:26,2,10,HOU 43,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 12 yards (tackle by Quintin Demps),2.180,3.510
1,11:49,1,10,HOU 31,0,0,Vick Ballard up the middle for 3 yards (tackle by Jared Crick),3.510,3.370
1,11:10,2,7,HOU 28,0,0,"Penalty on Connor Barwin: Neutral Zone Infraction, 5 yards (no play)",3.370,4.050
1,10:49,2,2,HOU 23,0,0,Vick Ballard up the middle for -1 yards (tackle by Earl Mitchell),4.050,3.200
1,10:08,3,3,HOU 24,0,0,Andrew Luck pass complete short right to Dwayne Allen for 20 yards (tackle by Danieal Manning),3.200,6.280
1,9:24,1,4,HOU 4,0,0,Vick Ballard up the middle for 3 yards (tackle by Danieal Manning and Glover Quin),6.280,5.910
1,8:43,2,1,HOU 1,0,0,Andrew Luck pass incomplete short right intended for Reggie Wayne (defended by Johnathan Joseph),5.910,5.170
1,8:39,3,1,HOU 1,0,0,Andrew Luck pass incomplete short right intended for Reggie Wayne. Penalty on Brandon Harris: Defensive Pass Interference (no play),5.170,6.970
1,8:34,1,1,HOU 1,0,0,Vick Ballard up the middle for no gain (tackle by Bradie James and Tim Dobbins),6.970,5.910
1,7:55,2,1,HOU 1,0,6,"Andrew Luck pass complete short left to Coby Fleener for 1 yard, touchdown",5.910,7.000
1,7:55,,,HOU 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,7:51,,,IND 35,0,7,"Pat McAfee kicks off 74 yards, touchback",0.000,0.280
1,7:51,1,10,HOU 20,0,7,Arian Foster right tackle for 3 yards (tackle by Lawrence Guy),0.280,0.140
1,7:18,2,7,HOU 23,0,7,Arian Foster right end for 8 yards (tackle by Antoine Bethea),0.140,1.000
1,6:42,1,10,HOU 31,0,7,Arian Foster right end for 2 yards (tackle by Jerrell Freeman and Martin Tevaseu),1.000,0.730
1,6:02,2,8,HOU 33,0,7,Ben Tate right end for 4 yards (tackle by Antoine Bethea),0.730,0.560
1,5:31,3,4,HOU 37,0,7,Matt Schaub pass complete short left to Owen Daniels for 6 yards (tackle by Darius Butler),0.560,1.800
1,5:07,1,10,HOU 43,0,7,Matt Schaub pass complete short right to Andre Johnson for 8 yards (tackle by Pat Angerer),1.800,2.330
1,4:30,2,2,IND 49,0,7,Matt Schaub pass complete short right to Garrett Graham for 6 yards (tackle by Cassius Vaughn),2.330,2.720
1,3:53,1,10,IND 43,0,7,Matt Schaub sacked by Clifton Geathers for -9 yards,2.720,0.960
,,,,,,,"HOU challenged the too many players on field ruling, and the play was upheld.",,
1,3:26,2,19,HOU 48,0,7,Matt Schaub pass complete short right to Owen Daniels for 6 yards (tackle by Cassius Vaughn),0.960,1.090
1,2:43,3,13,IND 46,0,7,Matt Schaub pass complete short left to DeVier Posey for 16 yards (tackle by Joe Lefeged and Jerrell Freeman),1.090,3.580
1,2:03,1,10,IND 30,0,7,Arian Foster up the middle for 6 yards (tackle by Robert Mathis),3.580,3.840
1,1:22,2,4,IND 24,0,7,"Penalty on Andre Johnson: False Start, 5 yards (no play)",3.840,3.170
1,0:59,2,9,IND 29,0,7,Matt Schaub pass incomplete short left intended for Kevin Walter (defended by Ricardo Mathews),3.170,2.480
1,0:56,3,9,IND 29,0,7,Matt Schaub pass complete short right to Andre Johnson for -3 yards (tackle by Robert Mathis),2.480,1.240
1,0:12,4,12,IND 32,3,7,Shayne Graham 51 yard field goal good,1.240,3.000
1,0:06,,,HOU 35,3,7,"Shayne Graham kicks off 73 yards, touchback",0.000,0.280
1,0:06,1,10,IND 20,3,7,Vick Ballard left end for 5 yards (tackle by Connor Barwin and Danieal Manning),0.280,0.410
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,IND 25,3,7,Andrew Luck pass incomplete short left intended for Dwayne Allen,0.410,-0.300
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,14:57,3,5,IND 25,3,7,Andrew Luck pass complete short right to T.Y. Hilton for 12 yards (tackle by Kareem Jackson),-0.300,1.400
2,14:18,1,10,IND 37,3,7,Andrew Luck pass incomplete deep right intended for Reggie Wayne,1.400,0.860
2,14:14,2,10,IND 37,3,7,Vick Ballard right tackle for 3 yards (tackle by Antonio Smith),0.860,0.560
2,13:35,3,7,IND 40,3,7,Andrew Luck sacked by Antonio Smith for -7 yards,0.560,-1.180
