Unnamed: 0,HOU,IND
First Downs,19,19
Rush-Yds-TDs,20-102-1,33-81-1
Cmp-Att-Yd-TD-INT,24-36-275-0-2,14-28-191-2-0
Sacked-Yards,4-25,1-7
Net Pass Yards,250,184
Total Yards,352,265
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,9-64,3-24
Third Down Conv.,5-11,9-15
Fourth Down Conv.,0-0,0-0
Time of Possession,28:51,31:09
