Quarter,Time,Tm,Detail,BAL,CIN
1.0,8:31,Bengals,Chad Johnson 39 yard pass from Carson Palmer (Kyle Larson kick failed),0,6
,4:04,Bengals,Shayne Graham 23 yard field goal,0,9
2.0,11:52,Ravens,Musa Smith 6 yard rush (Matt Stover kick),7,9
,1:03,Bengals,Shayne Graham 40 yard field goal,7,12
,0:02,Ravens,Matt Stover 36 yard field goal,10,12
3.0,8:47,Bengals,Landon Johnson 34 yard defensive fumble return (Shayne Graham kick),10,19
4.0,14:02,Ravens,Matt Stover 23 yard field goal,13,19
,12:07,Ravens,Ed Reed 63 yard punt return (Matt Stover kick),20,19
,8:48,Bengals,T.J. Houshmandzadeh 7 yard pass from Carson Palmer (Rudi Johnson run),20,27
