Unnamed: 0,BAL,CIN
First Downs,20,13
Rush-Yds-TDs,25-107-1,23-55-0
Cmp-Att-Yd-TD-INT,22-40-222-0-2,20-32-194-2-0
Sacked-Yards,2-15,1-13
Net Pass Yards,207,181
Total Yards,314,236
Fumbles-Lost,5-4,2-2
Turnovers,6,2
Penalties-Yards,10-86,5-41
Third Down Conv.,2-13,3-13
Fourth Down Conv.,1-1,0-0
Time of Possession,32:21,27:39
