#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BAL 17,6,2:30,28,Punt
2,1,10:26,BAL 44,1,0:06,-3,Fumble
3,1,8:46,BAL 46,1,0:08,-7,Fumble
4,1,8:31,BAL 34,3,1:38,14,Fumble
5,1,4:04,BAL 20,3,1:33,9,Punt
6,1,1:30,BAL 12,8,4:38,88,Touchdown
7,2,7:21,BAL 20,5,3:31,12,Punt
8,2,1:03,CIN 41,5,1:01,23,Field Goal
9,3,9:40,BAL 39,3,0:53,-5,Fumble
10,3,8:47,BAL 31,4,2:49,18,Punt
11,3,4:24,BAL 37,11,5:22,58,Field Goal
12,4,11:06,BAL 26,3,1:34,9,Interception
13,4,8:48,BAL 20,6,3:09,29,Punt
14,4,4:42,CIN 24,10,3:29,22,Interception
