Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Danny Boyd kicks off 60 yards, returned by Andre' Davis for 25 yards (tackle by Kiwaukee Thomas)",0.000,1.270
1,14:54,1,10,CLE 35,0,0,William Green left end for 3 yards (tackle by Ainsley Battles),1.270,1.130
1,14:08,2,7,CLE 38,0,0,Tim Couch pass incomplete intended for Quincy Morgan,1.130,0.430
1,14:01,3,7,CLE 38,0,0,"Tim Couch pass incomplete intended for Quincy Morgan. Penalty on Fernando Bryant: Defensive Holding, 5 yards (no play)",0.430,1.800
1,13:56,1,10,CLE 43,0,0,William Green middle for 7 yards (tackle by Danny Clark),1.800,2.200
1,13:16,2,3,,0,0,Tim Couch pass complete to Jamel White for 7 yards (tackle by Akin Ayodele),2.200,2.720
1,12:38,1,10,JAX 43,0,0,William Green middle for 12 yards (tackle by Marlon McCree and Danny Clark),2.720,3.510
1,11:59,1,10,JAX 31,0,0,"Penalty on Shaun O'Hara: False Start, 5 yards (no play)",3.510,3.180
1,11:42,1,15,JAX 36,0,0,James Jackson right end for 11 yards (tackle by Fernando Bryant),3.180,3.780
1,10:59,2,4,JAX 25,0,0,Tim Couch pass incomplete intended for Mark Campbell,3.780,3.070
1,10:55,3,4,JAX 25,0,0,Tim Couch pass incomplete intended for Andre' Davis (defended by John Henderson),3.070,1.880
1,10:49,4,4,JAX 25,0,0,Phil Dawson 42 yard field goal no good,1.880,-1.140
1,10:44,1,10,JAX 33,0,0,Mark Brunell for -4 yards (tackle by Anthony Henry),1.140,0.050
1,10:21,2,14,JAX 29,0,0,Fred Taylor middle for 2 yards (tackle by Darren Hambrick),0.050,-0.360
1,9:37,3,12,JAX 31,0,0,Mark Brunell sacked by Dwayne Rudd for -7 yards,-0.360,-1.770
1,9:23,4,19,JAX 24,0,0,"Chris Hanson punts 56 yards, returned by Andre' Davis for 7 yards (tackle by Micah Ross)",-1.770,-0.740
1,9:10,1,10,CLE 27,0,0,William Green middle for -5 yards (tackle by T.J. Slaughter),0.740,-0.480
1,8:32,2,15,CLE 22,0,0,Tim Couch pass complete to William Green for 12 yards (tackle by Fernando Bryant),-0.480,0.430
1,7:49,3,3,CLE 34,0,0,Tim Couch pass complete to Steve Heiden for 5 yards (tackle by Akin Ayodele),0.430,1.530
1,7:08,1,10,CLE 39,0,0,William Green middle for 1 yard (tackle by Ainsley Battles and Danny Clark),1.530,1.120
1,6:32,2,9,CLE 40,0,0,Tim Couch pass incomplete intended for Andre' Davis,1.120,0.430
1,6:26,3,9,CLE 40,0,0,Tim Couch pass incomplete intended for Quincy Morgan is intercepted by Marlon McCree at JAX-36 and returned for 11 yards,0.430,-2.060
1,6:14,1,10,JAX 47,0,0,Mark Brunell pass complete to Patrick Washington for 5 yards (tackle by Earl Holmes),2.060,2.190
1,5:38,2,5,CLE 48,0,0,Mark Brunell pass complete to Jimmy Smith for 17 yards (tackle by Anthony Henry),2.190,3.510
1,4:59,1,10,CLE 31,0,0,Fred Taylor left tackle for 10 yards (tackle by Robert Griffith),3.510,4.170
1,4:20,1,10,CLE 21,0,0,Fred Taylor middle for 2 yards (tackle by Dwayne Rudd),4.170,3.900
1,3:38,2,8,CLE 19,0,0,Mark Brunell pass complete to Bobby Shaw for 13 yards (tackle by Darren Hambrick),3.900,5.830
1,2:55,1,6,CLE 6,0,0,Fred Taylor left tackle for 1 yard (tackle by Robert Griffith),5.830,5.150
1,2:14,2,5,CLE 5,0,0,Stacey Mack left end for 1 yard (tackle by Dwayne Rudd),5.150,4.490
1,1:35,3,4,CLE 4,0,6,"Mark Brunell pass complete to Kyle Brady for 4 yards, touchdown",4.490,7.000
1,1:35,,,CLE 4,0,7,Danny Boyd kicks extra point good,0.000,0.000
1,1:35,,,JAX 30,0,7,"Danny Boyd kicks off 61 yards, returned by Andre' Davis for 91 yards. Penalty on Lenoy Jones: Offensive Holding, 10 yards",0.000,0.410
1,1:17,1,10,CLE 22,0,7,William Green right tackle for 6 yards (tackle by Marlon McCree),0.410,0.680
1,0:41,2,4,CLE 28,0,7,William Green middle for no gain (tackle by Ainsley Battles),0.680,-0.030
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,CLE 28,0,7,Tim Couch sacked by Akin Ayodele for -8 yards,-0.030,-2.030
2,14:45,4,12,CLE 20,0,7,"Chris Gardocki punts 52 yards, muffed catch by Bobby Shaw, recovered by Bobby Shaw and returned for 1 yard (tackle by Dwayne Rudd)",-2.030,-1.200
2,14:34,1,10,JAX 34,0,7,"Mark Brunell pass incomplete intended for Jimmy Smith. Penalty on Corey Fuller: Defensive Holding, 5 yards (no play)",1.200,1.530
2,14:25,1,10,JAX 39,0,7,Fred Taylor middle for 9 yards (tackle by Robert Griffith),1.530,2.200
2,13:45,2,1,JAX 48,0,7,Stacey Mack middle for 4 yards (tackle by Darren Hambrick),2.200,2.390
2,13:11,1,10,CLE 48,0,7,Mark Brunell pass complete to Kyle Brady for 8 yards (tackle by Robert Griffith),2.390,2.930
2,12:28,2,2,CLE 40,0,7,"Fred Taylor right tackle for -3 yards (tackle by Dwayne Rudd). Penalty on Chris Naeole: Offensive Holding, 10 yards (no play)",2.930,1.580
2,12:05,2,12,,0,7,Fred Taylor left tackle for 1 yard (tackle by Robert Griffith),1.580,1.030
2,11:25,3,11,CLE 49,0,7,Mark Brunell sacked by Lewis Sanders for -5 yards,1.030,-0.320
2,11:01,4,16,JAX 46,0,7,Chris Hanson punts 37 yards,-0.320,0.060
2,10:51,1,10,CLE 17,0,7,William Green right tackle for 8 yards (tackle by Wali Rainer and Rob Meier),-0.060,0.620
2,10:11,2,2,CLE 25,0,7,William Green middle for 1 yard (tackle by T.J. Slaughter),0.620,-0.120
2,9:33,3,1,CLE 26,0,7,Tim Couch pass complete to Jamel White for 3 yards (tackle by Ike Charlton),-0.120,0.870
2,8:53,1,10,CLE 29,0,7,William Green middle for 9 yards (tackle by Danny Clark),0.870,1.540
2,8:13,2,1,CLE 38,0,7,William Green right tackle for no gain (tackle by Ainsley Battles),1.540,0.830
2,7:32,3,1,CLE 38,0,7,Tim Couch pass complete to Steve Heiden for 4 yards (tackle by Wali Rainer),0.830,1.730
2,6:46,1,10,CLE 42,0,7,Andre' Davis left end for 9 yards (tackle by Danny Clark),1.730,2.400
2,6:05,2,1,JAX 49,0,7,William Green middle for -1 yards (tackle by John Henderson),2.400,1.550
2,5:23,3,2,,0,7,Jamel White left tackle for 1 yard (tackle by Eric Westmoreland),1.550,0.000
2,4:51,4,1,JAX 49,0,7,"Chris Gardocki punts 49 yards, touchback",0.000,-0.280
2,4:40,1,10,JAX 20,0,7,Fred Taylor left tackle for 6 yards (tackle by Tyrone Rogers),0.280,0.540
2,4:06,2,4,JAX 26,0,7,Mark Brunell pass complete to Fred Taylor for 1 yard (tackle by Earl Holmes),0.540,-0.030
2,3:20,3,3,JAX 27,0,7,Mark Brunell sacked by Tyrone Rogers for -7 yards,-0.030,-2.030
2,3:07,4,10,JAX 20,0,7,"Chris Hanson punts 44 yards, returned by Andre' Davis for 6 yards (tackle by Wali Rainer). Penalty on Chris Akins: Illegal Block Above the Waist, 10 yards",-2.030,-0.740
2,2:54,1,10,CLE 27,0,7,Tim Couch pass complete to William Green for 9 yards (tackle by Ainsley Battles and Eric Westmoreland),0.740,1.410
2,2:12,2,1,CLE 36,0,7,Tim Couch pass incomplete intended for William Green,1.410,0.700
2,2:07,3,1,CLE 36,0,7,"Tim Couch pass incomplete intended for Steve Heiden (defended by Danny Clark). Penalty on John Henderson: Roughing the Passer, 16 yards (no play)",0.700,2.390
2,2:01,1,10,JAX 48,0,7,"Tim Couch pass incomplete intended for Kevin Johnson. Penalty on Ross Verba: False Start, 5 yards (no play)",2.390,2.060
2,2:01,1,15,CLE 47,0,7,Jamel White left end for 3 yards (tackle by Jason Craft),2.060,1.580
2,1:55,2,12,,0,7,Tim Couch left end for 12 yards (tackle by Ike Charlton),1.580,3.050
2,1:34,1,10,JAX 38,0,7,Jamel White right tackle for 19 yards (tackle by Kiwaukee Thomas),3.050,4.310
2,1:34,1,10,JAX 19,0,7,"Penalty on Shaun O'Hara: False Start, 5 yards (no play)",4.310,3.970
2,1:24,1,15,JAX 24,0,7,Jamel White left tackle for -1 yards (tackle by Marcus Stroud),3.970,2.950
2,0:52,2,16,JAX 25,0,7,Tim Couch pass incomplete intended for Kevin Johnson,2.950,2.280
2,0:47,3,16,JAX 25,0,7,Tim Couch pass complete to Jamel White for 7 yards (tackle by Jason Craft),2.280,2.250
2,0:39,4,9,JAX 18,0,7,"Phil Dawson 36 yard field goal no good, blocked by John Henderson",2.250,-0.670
2,0:29,1,10,JAX 26,0,7,Fred Taylor right tackle for -4 yards (tackle by Tyrone Rogers),0.670,-0.410
2,0:04,2,14,JAX 22,0,7,Fred Taylor middle for 1 yard (tackle by Robert Griffith),-0.410,-0.960
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,0,7,"Phil Dawson kicks off 65 yards, returned by Ike Charlton for 26 yards (tackle by Michael Jameson)",0.000,1.000
3,14:54,1,10,JAX 31,0,7,Mark Brunell pass incomplete intended for Patrick Johnson (defended by Corey Fuller),1.000,0.460
3,14:46,2,10,JAX 31,0,7,Fred Taylor left tackle for no gain (tackle by Gerard Warren),0.460,-0.230
3,14:03,3,10,JAX 31,0,7,Mark Brunell pass complete to Kyle Brady for 4 yards (tackle by Tyrone Rogers),-0.230,-1.040
3,13:34,4,6,JAX 35,0,7,"Chris Hanson punts 53 yards, returned by Andre' Davis for -4 yards (tackle by Micah Ross). Penalty on Chris Akins: Illegal Block Above the Waist, 4 yards",-1.040,0.380
3,13:24,1,10,CLE 4,0,7,William Green left tackle for 6 yards (tackle by Ainsley Battles),-0.380,-0.340
3,12:49,2,4,CLE 10,0,7,Tim Couch pass complete to Kevin Johnson for 22 yards (tackle by Fernando Bryant),-0.340,1.070
3,12:09,1,10,CLE 32,0,7,Tim Couch pass complete to Mark Campbell for 26 yards (tackle by Ainsley Battles),1.070,2.790
3,11:33,1,10,JAX 42,0,7,William Green left tackle for 4 yards (tackle by Paul Spicer),2.790,2.780
3,10:51,2,6,JAX 38,0,7,William Green right end for 15 yards (tackle by Danny Clark),2.780,4.040
3,10:19,1,10,JAX 23,0,7,William Green middle for 3 yards (tackle by Wali Rainer),4.040,3.900
3,9:36,2,7,JAX 20,0,7,William Green middle for 9 yards (tackle by Akin Ayodele),3.900,4.840
3,8:49,1,10,JAX 11,0,7,Tim Couch pass complete to Steve Heiden for 8 yards (tackle by T.J. Slaughter),4.840,5.660
3,8:09,2,2,JAX 3,0,7,Tim Couch pass complete to Steve Heiden for no gain,5.660,4.890
3,7:41,3,2,JAX 3,6,7,"William Green middle for 3 yards, touchdown",4.890,7.000
3,7:41,,,JAX 3,7,7,Phil Dawson kicks extra point good,0.000,0.000
3,7:41,,,CLE 30,7,7,"Phil Dawson kicks off 60 yards, returned by Ike Charlton for 23 yards (tackle by Andra Davis)",0.000,1.140
3,7:28,1,10,JAX 33,7,7,Fred Taylor middle for 11 yards (tackle by Gerard Warren),1.140,1.860
3,6:49,1,10,JAX 44,7,7,Fred Taylor right end for 8 yards (tackle by Corey Fuller),1.860,2.400
3,6:09,2,2,CLE 48,7,7,Mark Brunell pass incomplete intended for Jimmy Smith,2.400,1.690
3,6:04,3,2,CLE 48,7,7,Mark Brunell for 4 yards (tackle by Earl Holmes),1.690,2.650
3,5:36,1,10,CLE 44,7,13,"Fred Taylor middle for 44 yards, touchdown",2.650,7.000
3,5:36,,,CLE 44,7,14,Danny Boyd kicks extra point good,0.000,0.000
3,5:36,,,JAX 30,7,14,"Danny Boyd kicks off 58 yards, returned by Andre' Davis for 14 yards (tackle by Jimmy Redmond)",0.000,0.670
3,5:23,1,10,CLE 26,7,14,William Green left tackle for 9 yards (tackle by Wali Rainer and Jason Craft),0.670,1.350
3,4:45,2,1,CLE 35,7,14,William Green right tackle for 5 yards (tackle by Marlon McCree),1.350,1.600
3,4:01,1,10,CLE 40,13,14,"Tim Couch pass complete to Quincy Morgan for 60 yards, touchdown",1.600,7.000
3,4:01,,,JAX 40,14,14,Phil Dawson kicks extra point good,0.000,0.000
3,4:01,,,CLE 30,14,14,"Phil Dawson kicks off 30 yards, out of bounds",0.000,1.600
3,3:52,1,10,JAX 40,14,14,Mark Brunell for 1 yard (tackle by Earl Holmes),1.600,1.190
3,3:27,2,9,JAX 41,14,14,Fred Taylor right tackle for 1 yard (tackle by Kenard Lang),1.190,0.630
3,2:42,3,8,JAX 42,14,14,Mark Brunell pass complete to Jimmy Smith for 6 yards (tackle by Lewis Sanders),0.630,-0.190
3,2:42,4,2,JAX 48,14,14,Chris Hanson punts 46 yards,-0.190,0.380
3,1:57,1,10,CLE 6,14,14,William Green left tackle for no gain (tackle by John Henderson),-0.380,-0.780
3,1:19,2,10,CLE 6,14,14,Tim Couch pass complete to Andre' Davis for 10 yards (tackle by Jason Craft),-0.780,-0.140
3,0:56,1,10,CLE 16,14,14,Tim Couch pass complete to Andre' Davis for 4 yards (tackle by Jason Craft),-0.140,0.010
3,0:17,2,6,CLE 20,14,14,William Green middle for 2 yards (tackle by Danny Clark),0.010,-0.570
Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,CLE 22,14,14,Tim Couch pass complete to Quincy Morgan for 8 yards (tackle by Kiwaukee Thomas),-0.570,0.940
4,14:22,1,10,CLE 30,14,14,Tim Couch pass incomplete intended for Quincy Morgan,0.940,0.390
4,14:17,2,10,CLE 30,14,14,"Tim Couch sacked by Larry Smith for -9 yards. Penalty on Akin Ayodele: Defensive Offside, 5 yards (no play)",0.390,1.070
4,13:56,2,5,CLE 35,14,14,Tim Couch pass complete to William Green for 4 yards (tackle by Danny Clark),1.070,0.890
4,13:08,3,1,CLE 39,14,14,William Green right tackle for -2 yards (tackle by Larry Smith),0.890,-0.910
4,12:36,4,3,CLE 37,14,14,"Chris Gardocki punts 47 yards, fair catch by Bobby Shaw",-0.910,0.140
4,12:29,1,10,JAX 16,14,14,Mark Brunell pass complete to Stacey Mack for 4 yards (tackle by Earl Holmes),-0.140,0.010
4,11:53,2,6,JAX 20,14,14,Fred Taylor left end for -1 yards (tackle by Earl Holmes),0.010,-0.950
4,11:06,3,7,JAX 19,14,14,Mark Brunell pass incomplete,-0.950,-2.140
4,10:59,4,7,JAX 19,14,14,"Chris Hanson punts 39 yards, fair catch by Andre' Davis",-2.140,-1.730
4,10:51,1,10,CLE 42,14,14,"Jamel White left end for 8 yards (tackle by Marlon McCree). Penalty on Frisman Jackson: Offensive Holding, 10 yards (no play)",1.730,1.070
4,10:25,1,20,CLE 32,14,14,Tim Couch pass incomplete intended for Andre' Davis (defended by Larry Smith),1.070,-0.160
4,10:21,2,20,CLE 32,14,14,William Green middle for 14 yards (tackle by Eric Westmoreland). Penalty on Larry Smith: Defensive 12 On-field (Declined),-0.160,1.030
4,9:56,3,6,CLE 46,14,14,Tim Couch pass incomplete intended for Kevin Johnson (defended by Marco Coleman),1.030,-0.320
4,9:49,4,6,CLE 46,14,14,"Chris Gardocki punts 23 yards, out of bounds",-0.320,-1.000
4,9:42,1,10,JAX 31,14,14,Fred Taylor middle for 12 yards (tackle by Tyrone Rogers),1.000,1.800
4,9:06,1,10,JAX 43,14,14,Fred Taylor right tackle for 5 yards (tackle by Earl Holmes),1.800,1.930
4,8:25,2,5,JAX 48,14,14,Stacey Mack middle for no gain (tackle by Earl Holmes),1.930,1.220
4,7:42,3,5,JAX 48,14,14,Mark Brunell pass incomplete intended for Bobby Shaw,1.220,-0.190
4,7:37,4,5,JAX 48,14,14,Chris Hanson punts 51 yards,-0.190,0.380
4,7:25,1,10,CLE 1,14,14,Tim Couch pass complete to Steve Heiden for 4 yards (tackle by Akin Ayodele),-0.380,-0.490
4,6:44,2,6,CLE 5,14,14,William Green left end for 6 yards (tackle by Jason Craft),-0.490,-0.370
4,6:15,1,10,CLE 11,14,14,Tim Couch pass incomplete intended for Kevin Johnson,-0.370,-0.780
4,6:09,2,10,CLE 11,14,14,William Green middle for 4 yards (tackle by Akin Ayodele and Jason Craft),-0.780,-0.950
4,5:25,3,6,CLE 15,14,14,Tim Couch pass incomplete intended for Kevin Johnson (defended by John Henderson),-0.950,-2.440
4,5:20,4,6,CLE 15,14,14,"Chris Gardocki punts 28 yards, out of bounds",-2.440,-2.720
4,5:13,1,10,CLE 43,14,14,"Mark Brunell pass complete to Fred Taylor for 11 yards (tackle by Darren Hambrick). Penalty on Todd Fordham: Personal Foul, 15 yards",2.720,2.460
4,4:46,1,10,CLE 47,14,14,Fred Taylor left end for 24 yards (tackle by Robert Griffith),2.460,4.040
4,4:38,1,10,CLE 23,14,14,Fred Taylor right end for 2 yards (tackle by Earl Holmes and Darren Hambrick),4.040,3.770
4,3:57,2,8,CLE 21,14,14,Mark Brunell middle for 5 yards (tackle by Earl Holmes),3.770,3.850
4,3:12,3,3,CLE 16,14,14,Stacey Mack for 1 yard (tackle by Brant Boyer),3.850,2.570
4,2:35,4,2,CLE 15,14,17,Danny Boyd 33 yard field goal good,2.570,3.000
4,2:35,,,JAX 30,14,17,"Danny Boyd kicks off 59 yards, returned by Andre' Davis for 19 yards (tackle by Joe Tuipala)",0.000,0.940
4,2:27,1,10,CLE 30,14,17,Tim Couch pass complete to Andre' Davis for 6 yards (tackle by Paul Spicer),0.940,1.200
4,2:04,2,4,CLE 36,14,17,Tim Couch pass incomplete intended for Kevin Johnson (defended by Fernando Bryant),1.200,0.500
4,2:02,3,4,CLE 36,14,17,Tim Couch pass complete to Kevin Johnson for 7 yards (tackle by Ike Charlton),0.500,1.800
4,1:55,1,10,CLE 43,14,17,Tim Couch sacked by Ike Charlton for -7 yards,1.800,0.310
4,1:35,2,17,CLE 36,14,17,"Penalty on Andre King: False Start, 5 yards (no play)",0.310,-0.370
4,1:30,2,22,CLE 31,14,17,Tim Couch pass incomplete intended for Kevin Johnson is intercepted by Akin Ayodele at CLE-46 and returned for 22 yards,-0.370,-3.970
4,1:25,1,10,CLE 24,14,17,"Fred Taylor left tackle for 5 yards (tackle by Tyrone Rogers). Penalty on Alvin McKinley: Personal Foul, 9 yards",3.970,4.910
4,1:18,1,10,CLE 10,14,17,Fred Taylor left tackle for 6 yards (tackle by Dwayne Rudd),4.910,5.340
4,1:11,1,10,CLE 10,,,Timeout #1 by Cleveland Browns,4.910,5.340
4,1:11,2,4,CLE 4,14,17,Fred Taylor left tackle for 1 yard (tackle by Earl Holmes),5.340,4.720
4,1:05,2,4,CLE 4,,,Timeout #2 by Cleveland Browns,5.340,4.720
4,1:05,3,3,CLE 3,14,17,Fred Taylor right end for -1 yards (tackle by Kenard Lang),4.720,3.030
4,0:56,3,3,CLE 3,,,Timeout #3 by Cleveland Browns,4.720,3.030
4,0:56,4,4,CLE 4,14,20,Danny Boyd 22 yard field goal good,3.030,3.000
4,0:56,,,JAX 30,14,20,"Danny Boyd kicks off 33 yards, returned by Jamel White for 10 yards (tackle by James Boyd)",0.000,2.060
4,0:47,1,10,CLE 47,14,20,Tim Couch sacked by Paul Spicer for -5 yards,2.060,0.840
4,0:28,2,15,CLE 42,14,20,Tim Couch pass complete to Jamel White for 8 yards (tackle by Eric Westmoreland),0.840,1.220
4,0:00,3,7,,20,20,"Tim Couch pass complete to Quincy Morgan for 50 yards, touchdown",1.220,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,0:00,,,JAX 50,21,20,Phil Dawson kicks extra point good,0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
