Quarter,Time,Tm,Detail,CLE,JAX
1.0,1:29,Jaguars,Kyle Brady 4 yard pass from Mark Brunell (Danny Boyd kick),0,7
3.0,7:33,Browns,William Green 3 yard rush (Phil Dawson kick),7,7
,5:28,Jaguars,Fred Taylor 44 yard rush (Danny Boyd kick),7,14
,3:52,Browns,Quincy Morgan 60 yard pass from Tim Couch (Phil Dawson kick),14,14
4.0,2:32,Jaguars,Danny Boyd 33 yard field goal,14,17
,0:50,Jaguars,Danny Boyd 22 yard field goal,14,20
,0:00,Browns,Quincy Morgan 50 yard pass from Tim Couch (Phil Dawson kick),21,20
