Unnamed: 0,CLE,JAX
First Downs,21,13
Rush-Yds-TDs,33-173-1,31-157-1
Cmp-Att-Yd-TD-INT,21-35-264-2-2,10-14-73-1-0
Sacked-Yards,3-20,3-19
Net Pass Yards,244,54
Total Yards,417,211
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,10-68,5-51
Third Down Conv.,7-15,2-11
Fourth Down Conv.,0-0,0-0
Time of Possession,34:56,25:04
