Unnamed: 0,IND,NWE
First Downs,24,24
Rush-Yds-TDs,25-53-1,33-148-2
Cmp-Att-Yd-TD-INT,20-36-326-2-1,20-35-201-0-4
Sacked-Yards,3-25,0-0
Net Pass Yards,301,201
Total Yards,354,349
Fumbles-Lost,2-1,1-1
Turnovers,2,5
Penalties-Yards,7-68,8-81
Third Down Conv.,5-10,7-13
Fourth Down Conv.,0-0,2-2
Time of Possession,29:26,30:34
