Quarter,Time,Tm,Detail,IND,NWE
1.0,4:30,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Adam Vinatieri kick),7,0
2.0,14:25,Patriots,Corey Dillon 1 yard rush (Stephen Gostkowski kick),7,7
,9:56,Colts,Joseph Addai 2 yard rush (Adam Vinatieri kick),14,7
,4:14,Patriots,Corey Dillon 4 yard rush (Stephen Gostkowski kick),14,14
,1:46,Colts,Adam Vinatieri 23 yard field goal,17,14
3.0,6:56,Colts,Marvin Harrison 4 yard pass from Peyton Manning (Adam Vinatieri kick),24,14
,5:18,Patriots,Stephen Gostkowski 49 yard field goal,24,17
4.0,10:17,Colts,Adam Vinatieri 31 yard field goal,27,17
,6:01,Patriots,Stephen Gostkowski 26 yard field goal,27,20
