Unnamed: 0,SDG,OAK
First Downs,22,23
Rush-Yds-TDs,39-222-2,24-120-1
Cmp-Att-Yd-TD-INT,22-32-208-2-1,26-43-348-3-1
Sacked-Yards,0-0,3-20
Net Pass Yards,208,328
Total Yards,430,448
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,9-111,7-57
Third Down Conv.,3-13,5-15
Fourth Down Conv.,1-1,2-2
Time of Possession,37:13,32:46
