Quarter,Time,Tm,Detail,SDG,OAK
1,11:26,Raiders,Tim Brown 36 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
,6:46,Chargers,Drew Brees 21 yard pass from LaDainian Tomlinson (Steve Christie kick),7,7
2,13:19,Chargers,Justin Peelle 7 yard pass from Drew Brees (Steve Christie kick),14,7
,8:14,Raiders,Doug Jolley 2 yard pass from Rich Gannon (Sebastian Janikowski kick),14,14
,6:44,Chargers,LaDainian Tomlinson 55 yard rush (Steve Christie kick),21,14
3,10:41,Chargers,Steve Christie 32 yard field goal,24,14
4,9:29,Raiders,Sebastian Janikowski 23 yard field goal,24,17
,5:59,Chargers,Lorenzo Neal 3 yard rush (Steve Christie kick),31,17
,4:38,Raiders,Alvis Whitted 36 yard pass from Rich Gannon (Sebastian Janikowski kick),31,24
,1:24,Raiders,Charlie Garner 24 yard rush (Sebastian Janikowski kick),31,31
OT,5:01,Raiders,Sebastian Janikowski 46 yard field goal,31,34
