Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 64 yards, returned by Roc Alexander for 25 yards (tackle by Demorrio Williams)",0.000,1.000
1,14:54,1,10,DEN 31,0,0,Reuben Droughns left tackle for 6 yards (tackle by Kevin McCadam),1.000,1.270
1,14:18,2,4,DEN 37,0,0,Jake Plummer pass complete to Reuben Droughns for 11 yards (tackle by Keith Brooking),1.270,2.130
1,13:46,1,10,DEN 48,0,0,Jake Plummer pass complete to Rod Smith for 26 yards (tackle by Jason Webster),2.130,3.840
1,13:16,1,10,ATL 26,0,0,Darius Watts right end for 8 yards (tackle by Bryan Scott),3.840,4.450
1,12:37,2,2,ATL 18,0,0,Rod Smith left end for 6 yards (tackle by Patrick Kerney),4.450,4.780
1,12:06,1,10,ATL 12,0,0,Reuben Droughns left tackle for 7 yards (tackle by Chris Draft),4.780,5.410
1,11:37,2,3,ATL 5,0,0,Reuben Droughns left guard for 1 yard (tackle by Ed Jasper),5.410,4.840
1,10:56,3,2,ATL 4,0,0,Reuben Droughns left tackle for 3 yards (tackle by Chris Draft),4.840,6.970
1,10:08,1,1,ATL 1,0,0,Reuben Droughns left guard for no gain (tackle by Keith Brooking and Travis Hall),6.970,5.910
1,9:31,2,1,ATL 1,0,6,"Jake Plummer pass complete to Patrick Hape for 1 yard, touchdown",5.910,7.000
1,,,,ATL 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Micah Knorr kicks off 69 yards, returned by Allen Rossum for 25 yards (tackle by Chris Young)",0.000,0.670
1,9:18,1,10,ATL 26,0,7,Michael Vick pass complete to Dez White for 7 yards (tackle by Donnie Spragan),0.670,1.070
1,8:49,2,3,ATL 33,0,7,Warrick Dunn right guard for no gain (tackle by Reggie Hayward),1.070,0.370
1,8:12,3,3,ATL 33,0,7,Michael Vick left end for 44 yards (tackle by Lenny Walls),0.370,4.040
1,7:23,1,10,DEN 23,0,7,"Warrick Dunn right tackle for 2 yards (tackle by Donnie Spragan and D.J. Williams). Penalty on Kevin Shaffer: Illegal Formation, 5 yards (no play)",4.040,3.710
1,7:01,1,15,DEN 28,0,7,Michael Vick pass complete to Warrick Dunn for 7 yards (tackle by Al Wilson),3.710,3.770
1,6:26,2,8,DEN 21,0,7,Warrick Dunn right guard for 5 yards (tackle by John Lynch),3.770,3.850
1,5:48,3,3,DEN 16,0,7,Michael Vick pass complete to Brian Finneran for 5 yards (tackle by Lenny Walls),3.850,4.840
1,5:10,1,10,DEN 11,0,7,Warrick Dunn up the middle for 7 yards (tackle by Kenoy Kennedy),4.840,5.470
1,4:37,2,3,DEN 4,0,7,Michael Vick for -5 yards (tackle by D.J. Williams),5.470,3.530
1,4:37,3,8,DEN 9,0,7,Michael Vick pass complete to Alge Crumpler for 3 yards (tackle by Kenoy Kennedy),3.530,2.990
1,3:42,4,5,DEN 6,3,7,Jay Feely 24 yard field goal good,2.990,3.000
1,,,,ATL 30,3,7,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
1,3:38,1,10,DEN 20,3,13,"Jake Plummer pass complete to Rod Smith for 80 yards, touchdown. Penalty on Chad Lavalais: Roughing the Passer, 15 yards",0.280,7.000
1,,,,ATL 2,3,14,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 45,3,14,"Micah Knorr kicks off 55 yards, touchback",0.000,0.280
1,3:26,1,10,ATL 20,3,14,Michael Vick pass complete to Alge Crumpler for 27 yards (tackle by Donnie Spragan),0.280,2.060
1,2:45,1,10,ATL 47,3,14,Michael Vick up the middle for 9 yards (tackle by Donnie Spragan),2.060,2.730
1,2:02,2,1,DEN 44,3,14,T.J. Duckett right guard for no gain (tackle by Marco Coleman),2.730,2.020
1,1:36,3,1,DEN 44,3,14,Michael Vick up the middle for 2 yards (tackle by Monsanto Pope),2.020,2.790
1,0:58,1,10,DEN 42,3,14,Michael Vick pass complete to Brian Finneran for 8 yards (tackle by Champ Bailey),2.790,3.320
1,0:20,2,2,DEN 34,3,14,Warrick Dunn right guard for no gain (tackle by Marco Coleman and Monsanto Pope),3.320,2.610
Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DEN 34,3,14,"T.J. Duckett up the middle for 7 yards (tackle by Al Wilson). T.J. Duckett fumbles (forced by Al Wilson), recovered by Reggie Hayward at DEN-25 (tackle by T.J. Duckett)",2.610,-0.610
2,14:53,1,10,DEN 25,3,14,Reuben Droughns right guard for 1 yard (tackle by Patrick Kerney and Chris Draft),0.610,0.200
2,14:14,2,9,DEN 26,3,14,"Jake Plummer pass complete to Reuben Droughns for 5 yards (tackle by Keith Brooking). Penalty on Matt Lepsis: Offensive Holding, 10 yards (no play)",0.200,-1.290
2,13:46,2,19,DEN 16,3,14,Jake Plummer pass complete to Ashley Lelie for 14 yards (tackle by DeAngelo Hall),-1.290,0.040
2,13:03,,,,3,14,Timeout #1 by Denver Broncos,0.000,0.040
2,13:03,3,5,DEN 30,3,14,Jake Plummer pass incomplete intended for Rod Smith,0.040,-1.370
2,12:58,4,5,DEN 30,3,14,Micah Knorr punts 42 yards,-1.370,-1.600
2,12:45,1,10,ATL 40,3,14,T.J. Duckett up the middle for 4 yards (tackle by John Lynch),1.600,1.590
2,12:11,2,6,ATL 44,3,14,Michael Vick right guard for 10 yards (tackle by Champ Bailey),1.590,2.520
2,11:49,1,10,DEN 46,3,14,Peerless Price pass complete to Dez White for 25 yards,2.520,4.170
2,11:15,1,10,DEN 21,3,14,Michael Vick pass incomplete intended for Warrick Dunn,4.170,3.630
2,11:09,2,10,DEN 21,9,14,"T.J. Duckett up the middle for 21 yards, touchdown",3.630,7.000
2,,,,DEN 2,10,14,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,10,14,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,11:02,1,10,DEN 20,10,14,Jake Plummer pass incomplete intended for Dwayne Carswell (defended by Matt Stewart),0.280,-0.270
2,10:59,2,10,DEN 20,10,14,Jake Plummer pass complete to Jeb Putzier for 38 yards (tackle by Kevin McCadam),-0.270,2.790
2,10:13,1,10,ATL 42,10,14,"Reuben Droughns left tackle for 1 yard (tackle by Jason Webster). Penalty on Chad Lavalais: Defensive Offside, 5 yards (no play)",2.790,3.520
2,9:49,1,5,ATL 37,10,14,Jake Plummer pass complete to Rod Smith for 1 yard (tackle by Jason Webster),3.520,3.050
2,9:06,2,4,ATL 36,10,14,Jake Plummer pass incomplete is intercepted by Patrick Kerney at ATL-39,3.050,-1.530
2,9:00,1,10,ATL 39,10,14,"Michael Vick for 4 yards. Michael Vick fumbles, recovered by Michael Vick at ATL-39",1.530,1.530
2,8:19,2,6,ATL 43,10,14,Warrick Dunn left guard for -3 yards (tackle by Mario Fatafehi and D.J. Williams),1.530,0.430
2,7:42,3,9,ATL 40,10,14,Michael Vick pass complete to Justin Griffith for 11 yards (tackle by Nick Ferguson),0.430,2.320
2,7:05,1,10,DEN 49,10,14,Michael Jenkins right end for 2 yards (tackle by Nick Ferguson and Anton Palepoi),2.320,2.050
2,6:24,2,8,DEN 47,10,14,Michael Vick pass incomplete intended for Peerless Price,2.050,1.360
2,6:19,3,8,DEN 47,10,14,Michael Vick pass complete to Alge Crumpler for 7 yards (tackle by Lenny Walls),1.360,0.590
2,5:29,4,1,DEN 40,10,14,Michael Vick right end for 5 yards (tackle by Champ Bailey),0.590,3.250
2,4:48,1,10,DEN 35,10,14,Warrick Dunn up the middle for 1 yard (tackle by Al Wilson),3.250,2.840
2,4:09,2,9,DEN 34,10,14,Michael Vick pass incomplete intended for Alge Crumpler (defended by D.J. Williams),2.840,2.150
2,4:02,,,,10,14,Timeout #1 by Atlanta Falcons,0.000,2.150
2,4:02,3,9,DEN 34,16,14,"Michael Vick pass complete to Peerless Price for 34 yards, touchdown. Penalty on Kelly Herndon: Illegal Use of Hands (Declined)",2.150,7.000
2,,,,DEN 2,17,14,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,17,14,"Jay Feely kicks off 70 yards, returned by Roc Alexander for 16 yards (tackle by Siddeeq Shabazz)",0.000,-0.140
2,3:50,1,10,DEN 16,17,14,"Jake Plummer for 4 yards. Jake Plummer fumbles, recovered by Jake Plummer at DEN-16",-0.140,0.010
2,3:16,2,6,DEN 20,17,14,"Reuben Droughns right end for -3 yards (tackle by Travis Hall). Reuben Droughns fumbles (forced by Travis Hall), recovered by Ben Hamilton at DEN-17",0.010,-1.200
2,3:16,3,9,DEN 17,17,14,Jake Plummer pass complete to Darius Watts for 17 yards (tackle by Bryan Scott),-1.200,1.200
2,2:01,1,10,DEN 34,17,14,Reuben Droughns left tackle for 20 yards (tackle by Bryan Scott),1.200,2.520
2,1:52,1,10,ATL 46,17,14,Jake Plummer pass incomplete intended for Rod Smith (defended by Jason Webster),2.520,1.980
2,1:46,2,10,ATL 46,17,14,Jake Plummer pass complete to Ashley Lelie for 7 yards (tackle by DeAngelo Hall),1.980,2.210
2,1:20,,,,17,14,Timeout #2 by Denver Broncos,0.000,2.210
2,1:20,3,3,ATL 39,17,14,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",2.210,1.550
2,1:20,3,8,ATL 44,17,14,Jake Plummer pass incomplete intended for Rod Smith is intercepted by Keith Brooking at ATL-42 and returned for 12 yards (tackle by Jake Plummer),1.550,-2.520
2,1:12,1,10,DEN 46,17,14,Michael Vick for 3 yards,2.520,2.380
2,1:06,2,7,DEN 43,17,14,Michael Vick pass complete to Dez White for 14 yards (tackle by Champ Bailey). Penalty on Al Wilson: Illegal Contact (Declined),2.380,3.640
2,0:58,1,10,DEN 29,17,14,Warrick Dunn right end for -2 yards (tackle by D.J. Williams),3.640,2.830
2,0:53,2,12,DEN 31,17,14,Michael Vick pass complete to Alge Crumpler for 7 yards (tackle by Al Wilson),2.830,3.070
2,0:44,,,,17,14,Timeout #2 by Atlanta Falcons,0.000,3.070
2,0:44,3,5,DEN 24,17,14,Michael Vick right end for -1 yards (tackle by Al Wilson and Donnie Spragan),3.070,1.830
2,0:23,,,,17,14,Timeout #3 by Denver Broncos,0.000,1.830
2,0:23,4,6,DEN 25,20,14,Jay Feely 43 yard field goal good,1.830,3.000
