Unnamed: 0,ATL,DEN
First Downs,22,27
Rush-Yds-TDs,36-195-2,19-68-0
Cmp-Att-Yd-TD-INT,19-25-277-2-0,31-55-499-4-3
Sacked-Yards,1-5,0-0
Net Pass Yards,272,499
Total Yards,467,567
Fumbles-Lost,2-1,2-0
Turnovers,1,3
Penalties-Yards,7-56,9-70
Third Down Conv.,6-13,4-12
Fourth Down Conv.,1-1,2-3
Time of Possession,30:41,29:19
