Quarter,Time,Tm,Detail,GNB,ARI
1,6:48,Cardinals,Michael Floyd 8 yard pass from Carson Palmer (Chandler Catanzaro kick),0,7
2,11:22,Packers,Mason Crosby 28 yard field goal,3,7
,0:57,Packers,Mason Crosby 34 yard field goal,6,7
3,10:17,Packers,Jeff Janis 8 yard pass from Aaron Rodgers (Mason Crosby kick),13,7
,5:05,Cardinals,Chandler Catanzaro 28 yard field goal,13,10
4,3:44,Cardinals,Michael Floyd 9 yard pass from Carson Palmer (Chandler Catanzaro kick),13,17
,1:55,Cardinals,Chandler Catanzaro 36 yard field goal,13,20
,0:00,Packers,Jeff Janis 41 yard pass from Aaron Rodgers (Mason Crosby kick),20,20
OT,13:55,Cardinals,Larry Fitzgerald 5 yard pass from Carson Palmer,20,26
