Unnamed: 0,GNB,ARI
First Downs,18,20
Rush-Yds-TDs,22-135-0,19-40-0
Cmp-Att-Yd-TD-INT,24-44-261-2-1,25-41-349-3-2
Sacked-Yards,1-10,3-21
Net Pass Yards,251,328
Total Yards,386,368
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,8-55,3-26
Third Down Conv.,7-15,5-13
Fourth Down Conv.,1-2,1-1
Time of Possession,30:14,30:51
