Unnamed: 0,NWE,IND
First Downs,22,18
Rush-Yds-TDs,32-140-1,21-47-0
Cmp-Att-Yd-TD-INT,26-35-202-0-1,21-29-254-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,202,254
Total Yards,342,301
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,2-20,1-0
Third Down Conv.,8-14,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,34:24,25:36
