Unnamed: 0,GNB,SEA
First Downs,22,14
Rush-Yds-TDs,21-84-1,29-127-0
Cmp-Att-Yd-TD-INT,26-39-223-0-0,10-21-130-2-0
Sacked-Yards,8-39,1-19
Net Pass Yards,184,111
Total Yards,268,238
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,10-127,14-118
Third Down Conv.,7-15,2-11
Fourth Down Conv.,0-0,2-3
Time of Possession,33:39,26:21
