Quarter,Time,Tm,Detail,GNB,SEA
2.0,6:22,Seahawks,Golden Tate 41 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
3.0,8:07,Packers,Mason Crosby 29 yard field goal,3,7
,1:14,Packers,Mason Crosby 40 yard field goal,6,7
4.0,8:44,Packers,Cedric Benson 1 yard rush (pass failed),12,7
,0:00,Seahawks,Golden Tate 24 yard pass from Russell Wilson (Stephen Hauschka kick),12,14
