Quarter,Time,Tm,Detail,CAR,TAM
1.0,11:04,Buccaneers,Jerramy Stevens 3 yard pass from Luke McCown (Matt Bryant kick),0,7
,3:55,Panthers,Christian Fauria 2 yard pass from Matt Moore (John Kasay kick),7,7
2.0,12:32,Buccaneers,Matt Bryant 31 yard field goal,7,10
,6:40,Panthers,Dante Rosario 20 yard pass from Matt Moore (John Kasay kick),14,10
,2:34,Buccaneers,Matt Bryant 23 yard field goal,14,13
,0:16,Panthers,John Kasay 19 yard field goal,17,13
3.0,6:57,Buccaneers,Michael Bennett 23 yard pass from Luke McCown (Matt Bryant kick),17,20
,4:09,Panthers,DeAngelo Williams 1 yard rush,24,20
4.0,14:02,Buccaneers,Matt Bryant 49 yard field goal,24,23
,6:24,Panthers,DeAngelo Williams 32 yard rush (John Kasay kick),31,23
