Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Micah Knorr kicks off 70 yards, returned by Brian Mitchell for 47 yards (tackle by Micah Knorr)",0.000,2.060
1,14:53,1,10,PHI 47,0,0,Donovan McNabb sacked by Greg Ellis for -4 yards,2.060,0.980
1,14:21,2,14,PHI 43,0,0,Donovan McNabb left end for 26 yards (tackle by Darren Woodson),0.980,3.510
1,13:37,1,10,DAL 31,0,0,Donovan McNabb pass incomplete intended for Dorsey Levens (defended by Greg Ellis),3.510,2.970
1,13:33,2,10,DAL 31,0,0,Duce Staley middle for -2 yards (tackle by Dexter Coakley),2.970,2.020
1,12:54,3,12,DAL 33,0,0,Donovan McNabb pass incomplete intended for Antonio Freeman,2.020,1.150
1,12:49,4,12,DAL 33,0,3,David Akers 51 yard field goal good,1.150,3.000
1,12:49,,,PHI 30,6,3,"David Akers kicks off 70 yards, returned by Reggie Swinton for 100 yards, touchdown",0.000,7.000
1,12:45,,,PHI 33,7,3,Billy Cundiff kicks extra point good,0.000,0.000
1,12:45,,,DAL 30,7,3,"Micah Knorr kicks off 67 yards, returned by Brian Mitchell for 26 yards (tackle by Randal Williams)",0.000,0.870
1,12:28,1,10,PHI 29,7,3,Donovan McNabb pass complete to Antonio Freeman for 7 yards (tackle by Tony Dixon),0.870,1.270
1,11:53,2,3,PHI 36,7,3,James Thrash left end for 32 yards (tackle by Darren Woodson),1.270,3.450
1,11:24,2,3,PHI 36,,,Timeout #1 by Philadelphia Eagles,1.270,3.450
1,11:24,1,10,DAL 32,7,3,Donovan McNabb pass complete to Todd Pinkston for 6 yards (tackle by Mario Edwards),3.450,3.710
1,11:03,2,4,DAL 26,7,3,Dorsey Levens left end for -1 yards (tackle by Randal Williams),3.710,2.870
1,10:28,3,5,DAL 27,7,3,James Thrash right end for 1 yard (tackle by Darren Woodson),2.870,1.810
1,9:53,4,4,DAL 26,7,3,David Akers for 10 yards (tackle by Duane Hawthorne),1.810,4.510
1,9:23,4,4,DAL 26,,,Timeout #2 by Philadelphia Eagles,1.810,4.510
1,9:23,1,10,DAL 16,7,3,"Donovan McNabb pass complete to James Thrash for 5 yards (tackle by Greg Ellis). James Thrash fumbles (forced by Greg Ellis), recovered by Ebenezer Ekuban at DAL-11 and returned for 2 yards",4.510,0.320
1,9:14,1,10,DAL 13,7,3,Quincy Carter pass incomplete intended for Joey Galloway,-0.320,-0.770
1,9:11,2,10,DAL 13,7,3,Quincy Carter pass complete to Antonio Bryant for 7 yards (tackle by Shawn Barber),-0.770,-0.590
1,8:33,3,3,DAL 20,7,3,Quincy Carter pass complete to Antonio Bryant for 6 yards (tackle by Bobby Taylor),-0.590,0.670
1,7:56,1,10,DAL 26,7,3,Emmitt Smith right guard for 3 yards (tackle by Shawn Barber),0.670,0.540
1,7:18,2,7,DAL 29,7,3,"Antonio Bryant left end for 24 yards (tackle by Brian Dawkins). Antonio Bryant fumbles (forced by Brian Dawkins), recovered by Bobby Taylor at PHI-45 (tackle by Kelvin Garmon). Bobby Taylor fumbles (forced by Brian Dawkins) (tackle by Kelvin Garmon)",0.540,-1.930
1,6:58,1,10,PHI 45,7,3,Brian Westbrook right end for -1 yards (tackle by Randal Williams and Greg Ellis),1.930,1.250
1,6:18,2,11,PHI 44,7,3,Donovan McNabb pass incomplete intended for Dorsey Levens. Penalty on Chad Lewis: Illegal Shift (Declined),1.250,0.560
1,6:11,3,11,PHI 44,7,3,Donovan McNabb sacked by La'Roi Glover for -7 yards,0.560,-0.910
1,5:59,4,18,PHI 37,7,3,"Sean Landeta punts 63 yards, touchback",-0.910,-0.280
1,5:49,1,10,DAL 20,7,3,Emmitt Smith right guard for 8 yards (tackle by Blaine Bishop),0.280,0.810
1,5:15,2,2,DAL 28,7,3,Quincy Carter pass complete to Tony McGee for 8 yards (tackle by Carlos Emmons and Brian Westbrook),0.810,1.330
1,4:40,1,10,DAL 36,7,3,Emmitt Smith right tackle for 4 yards (tackle by Carlos Emmons and Shawn Barber),1.330,1.330
1,4:00,2,6,DAL 40,7,3,Quincy Carter pass complete to Tony McGee for 19 yards (tackle by Blaine Bishop),1.330,2.850
1,3:23,1,10,PHI 41,7,3,Quincy Carter pass complete to Darnay Scott for 11 yards (tackle by Brian Dawkins),2.850,3.580
1,2:48,1,10,PHI 30,7,3,Emmitt Smith left end for -4 yards (tackle by Bobby Taylor and Hugh Douglas),3.580,2.490
1,2:11,2,14,PHI 34,7,3,Quincy Carter pass incomplete intended for Michael Wiley,2.490,1.820
1,2:06,3,14,PHI 34,7,3,Quincy Carter pass complete to Joey Galloway for 5 yards (tackle by Al Harris),1.820,1.500
1,1:48,4,9,PHI 29,10,3,Billy Cundiff 47 yard field goal good,1.500,3.000
1,1:48,,,DAL 30,10,3,"Micah Knorr kicks off 71 yards, returned by Brian Mitchell for 26 yards (tackle by James Whalen)",0.000,0.610
1,1:38,1,10,PHI 25,10,3,Duce Staley middle for 4 yards (tackle by Dexter Coakley),0.610,0.600
1,1:03,2,6,PHI 29,10,3,Donovan McNabb for 25 yards (tackle by Dexter Coakley),0.600,2.520
1,0:29,1,10,DAL 46,10,3,Duce Staley left end for 5 yards (tackle by Mario Edwards),2.520,2.650
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,DAL 41,10,3,Donovan McNabb pass incomplete intended for Todd Pinkston,2.650,1.950
2,14:56,3,5,DAL 41,10,3,Donovan McNabb sacked by Greg Ellis for -4 yards,1.950,0.270
