Unnamed: 0,DAL,PHI
First Downs,18,26
Rush-Yds-TDs,27-121-0,26-153-1
Cmp-Att-Yd-TD-INT,21-35-201-0-1,26-40-309-4-0
Sacked-Yards,3-18,3-15
Net Pass Yards,183,294
Total Yards,304,447
Fumbles-Lost,3-3,4-2
Turnovers,4,2
Penalties-Yards,7-92,3-25
Third Down Conv.,4-13,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,30:52,29:08
