Quarter,Time,Tm,Detail,DAL,PHI
1.0,12:45,Eagles,David Akers 51 yard field goal,0,3
,12:33,Cowboys,Reggie Swinton 100 yard kickoff return (Billy Cundiff kick),7,3
,1:43,Cowboys,Billy Cundiff 47 yard field goal,10,3
2.0,9:04,Eagles,James Thrash 35 yard pass from Donovan McNabb (David Akers kick),10,10
,5:21,Eagles,Donovan McNabb 2 yard rush (David Akers kick),10,17
,0:00,Eagles,David Akers 20 yard field goal,10,20
3.0,12:56,Eagles,Antonio Freeman 59 yard pass from Donovan McNabb (David Akers kick),10,27
,11:01,Eagles,Todd Pinkston 25 yard pass from Brian Westbrook (David Akers kick),10,34
,6:55,Cowboys,Billy Cundiff 33 yard field goal,13,34
4.0,13:41,Eagles,Todd Pinkston 2 yard pass from Donovan McNabb (David Akers kick),13,41
,4:28,Eagles,David Akers 32 yard field goal,13,44
