Unnamed: 0,NWE,TAM
First Downs,18,10
Rush-Yds-TDs,28-107-1,26-89-0
Cmp-Att-Yd-TD-INT,23-32-308-3-2,11-30-172-1-3
Sacked-Yards,1-1,3-21
Net Pass Yards,307,151
Total Yards,414,240
Fumbles-Lost,0-0,1-0
Turnovers,2,3
Penalties-Yards,10-66,6-55
Third Down Conv.,6-12,4-15
Fourth Down Conv.,0-0,0-1
Time of Possession,33:15,26:45
