Quarter,Time,Tm,Detail,NWE,TAM
1.0,12:26,Patriots,Brandon Meriweather 39 yard interception return (Stephen Gostkowski kick),7,0
,2:16,Patriots,Wes Welker 14 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2.0,11:18,Patriots,Sam Aiken 54 yard pass from Tom Brady (Stephen Gostkowski kick),21,0
,1:14,Buccaneers,Antonio Bryant 33 yard pass from Josh Johnson (Shane Andrus kick),21,7
3.0,9:13,Patriots,Ben Watson 35 yard pass from Tom Brady (Stephen Gostkowski kick),28,7
4.0,9:25,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),35,7
