Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 61 yards, returned by Josh Cribbs for 19 yards (tackle by Brandon Siler)",0.000,0.810
1,14:55,1,10,CLE 28,0,0,Jerome Harrison right guard for 3 yards (tackle by Kevin Ellison),0.810,0.670
1,14:19,2,7,CLE 31,0,0,Brady Quinn pass complete short middle to Jerome Harrison for 1 yard (tackle by Brandon Siler),0.670,0.100
1,13:34,3,6,CLE 32,0,0,Brady Quinn pass complete short right to Brian Robiskie for 7 yards (tackle by Quentin Jammer),0.100,1.530
1,12:54,1,10,CLE 39,0,0,Jerome Harrison left end for 3 yards (tackle by Brandon Siler),1.530,1.390
1,12:12,2,7,CLE 42,0,0,Brady Quinn pass complete deep right to Evan Moore for 16 yards (tackle by Paul Oliver),1.390,2.790
1,11:30,1,10,SDG 42,0,0,Jerome Harrison for 11 yards (tackle by Quentin Jammer),2.790,3.510
1,11:02,1,10,SDG 31,0,0,Brady Quinn pass complete short middle to Evan Moore for 17 yards (tackle by Steve Gregory),3.510,4.650
1,10:25,1,10,SDG 14,0,0,Jerome Harrison left guard for 4 yards (tackle by Travis Johnson),4.650,4.710
1,9:52,2,6,SDG 10,0,0,"Brady Quinn sacked by Brandon Siler for -3 yards. Penalty on John St. Clair: Offensive Holding, 10 yards (no play)",4.710,3.280
1,9:25,2,16,SDG 20,0,0,Brady Quinn pass complete short right to Evan Moore for 9 yards (tackle by Brandon Siler),3.280,3.620
1,8:43,3,7,SDG 11,0,6,"Brady Quinn pass complete short middle to Mohamed Massaquoi for 11 yards, touchdown",3.620,7.000
1,,,,SDG 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,7,"Phil Dawson kicks off 65 yards, returned by Darren Sproles for 26 yards (tackle by Alex Hall)",0.000,1.000
1,8:31,1,10,SDG 31,0,7,LaDainian Tomlinson right guard for 4 yards (tackle by Robaire Smith),1.000,1.000
1,7:57,2,6,SDG 35,0,7,LaDainian Tomlinson right tackle for 2 yards (tackle by Matt Roth),1.000,0.560
1,7:17,3,4,SDG 37,0,7,Philip Rivers pass complete short left to Antonio Gates for 8 yards (tackle by Nick Sorensen),0.560,1.930
1,6:39,1,10,SDG 45,0,7,LaDainian Tomlinson right tackle for no gain (tackle by Robaire Smith),1.930,1.380
1,5:58,2,10,SDG 45,0,7,Philip Rivers pass incomplete short right intended for Antonio Gates,1.380,0.700
1,5:53,3,10,SDG 45,0,7,Philip Rivers pass complete deep middle to Antonio Gates for 22 yards (tackle by Mike Adams),0.700,3.380
1,5:13,1,10,CLE 33,0,7,Philip Rivers pass complete short left to Antonio Gates for 9 yards (tackle by Hank Poteat and David Bowens),3.380,4.050
1,4:30,2,1,CLE 24,0,7,LaDainian Tomlinson left guard for 9 yards (tackle by Eric Wright and Hank Poteat),4.050,4.580
1,3:48,1,10,CLE 15,0,7,Philip Rivers pass incomplete short left intended for Darren Sproles,4.580,3.950
1,3:43,2,10,CLE 15,0,7,Darren Sproles left guard for 1 yard (tackle by Robaire Smith),3.950,3.240
1,3:08,3,9,CLE 14,0,7,Philip Rivers pass incomplete short right intended for Vincent Jackson (defended by Brandon McDonald),3.240,2.510
1,3:03,4,9,CLE 14,3,7,Nate Kaeding 32 yard field goal good,2.510,3.000
1,,,,SDG 30,3,7,"Nate Kaeding kicks off 59 yards, returned by Josh Cribbs for 15 yards (tackle by Mike Tolbert)",0.000,0.670
1,2:54,1,10,CLE 26,3,7,Brady Quinn pass incomplete deep right intended for Chansi Stuckey,0.670,0.130
1,2:49,2,10,CLE 26,3,7,Brady Quinn pass incomplete middle intended for Robert Royal. Penalty on Michael Gaines: Illegal Formation (Declined),0.130,-0.560
1,2:45,3,10,CLE 26,3,7,Brady Quinn pass complete deep right to Brian Robiskie for 43 yards (tackle by C.J. Spillman),-0.560,3.510
1,1:54,1,10,SDG 31,3,7,Brady Quinn pass incomplete deep right intended for Chris Jennings,3.510,2.970
1,1:45,2,10,SDG 31,3,7,Chris Jennings right guard for 5 yards (tackle by Ian Scott),2.970,2.940
1,1:07,3,5,SDG 26,3,7,Brady Quinn pass incomplete short middle intended for Chansi Stuckey (defended by Stephen Cooper),2.940,1.790
1,1:03,4,5,SDG 26,3,7,Phil Dawson 43 yard field goal no good,1.790,-1.200
1,0:58,1,10,SDG 34,9,7,"Philip Rivers pass complete short left to Mike Tolbert for 66 yards, touchdown",1.200,7.000
1,,,,CLE 2,10,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,10,7,"Nate Kaeding kicks off 52 yards, out of bounds. Penalty on CLE: Illegal Formation (Offsetting), Penalty on Nate Kaeding: Kickoff Out of Bounds (Offsetting) (no play)",0.000,0.000
1,,,,SDG 30,10,7,"Nate Kaeding kicks off 62 yards, returned by Josh Cribbs for 24 yards (tackle by Larry English). Penalty on Blake Costanzo: Illegal Block Above the , 10 yards",0.000,0.040
1,0:37,1,10,CLE 18,10,7,Jerome Harrison right guard for 5 yards (tackle by Stephen Cooper),0.040,0.280
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CLE 23,10,7,Josh Cribbs left end for 7 yards (tackle by Larry English),0.280,0.940
2,14:24,1,10,CLE 30,10,7,Jerome Harrison right guard for 1 yard (tackle by Brandon Siler),0.940,0.530
2,13:45,2,9,CLE 31,10,7,Brady Quinn pass complete short right to Jerome Harrison for 14 yards (tackle by Paul Oliver),0.530,1.930
2,13:02,1,10,CLE 45,10,7,Brady Quinn pass incomplete deep right intended for Evan Moore,1.930,1.380
2,12:55,2,10,CLE 45,10,7,Brady Quinn pass complete short right to Jerome Harrison for 12 yards (tackle by Kevin Burnett),1.380,2.720
2,12:23,1,10,SDG 43,10,7,Brady Quinn pass complete short left to Evan Moore for 18 yards (tackle by Steve Gregory),2.720,3.910
2,11:44,1,10,SDG 25,10,7,Jerome Harrison left guard for 2 yards (tackle by Stephen Cooper),3.910,3.630
2,11:10,2,8,SDG 23,10,7,Brady Quinn left end for 7 yards (tackle by Brandon Siler),3.630,4.060
2,10:22,3,1,SDG 16,10,7,Brady Quinn middle for 1 yard (tackle by Larry English and Shaun Phillips),4.060,4.580
2,9:26,,,,10,7,Timeout #1 by Cleveland Browns,0.000,4.580
2,9:26,1,10,SDG 15,10,7,Brady Quinn pass complete short right to Lawrence Vickers for 5 yards (tackle by Kevin Ellison and Stephen Cooper),4.580,4.840
2,8:50,2,5,SDG 10,10,7,Jerome Harrison left guard for 2 yards (tackle by Ian Scott),4.840,4.450
2,8:06,3,3,SDG 8,10,7,Brady Quinn pass complete short right to Chansi Stuckey for 6 yards (tackle by Antonio Cromartie and C.J. Spillman),4.450,6.740
2,7:23,1,2,SDG 2,10,7,Jerome Harrison right tackle for -1 yards (tackle by Kevin Ellison),6.740,5.530
2,6:44,2,3,SDG 3,10,7,Brady Quinn pass incomplete short left intended for Evan Moore,5.530,4.720
2,6:38,3,3,SDG 3,10,7,"Brady Quinn sacked by Shaun Phillips for -5 yards. Brady Quinn fumbles (forced by Shaun Phillips), recovered by Jacques Cesaire at SDG-13 (tackle by John St. Clair)",4.720,0.320
,,,,,,,"CLE challenged the loose ball recovery ruling, and the play was upheld.",,
2,6:28,1,10,SDG 13,10,7,LaDainian Tomlinson left guard for 2 yards (tackle by David Bowens),-0.320,-0.570
2,5:49,2,8,SDG 15,10,7,Philip Rivers pass complete short left to Vincent Jackson for 13 yards (tackle by Eric Wright),-0.570,0.810
2,5:09,1,10,SDG 28,10,7,Philip Rivers middle for 3 yards (tackle by Corey Williams),0.810,0.670
2,4:29,2,7,SDG 31,10,7,Philip Rivers pass complete short right to Darren Sproles for 10 yards (tackle by Corey Williams),0.670,1.660
2,3:45,1,10,SDG 41,10,7,Philip Rivers pass incomplete deep right intended for Malcom Floyd,1.660,1.120
2,3:38,2,10,SDG 41,10,7,LaDainian Tomlinson right guard for 5 yards (tackle by Corey Williams),1.120,1.090
2,3:00,3,5,SDG 46,10,7,Philip Rivers sacked by Kamerion Wimbley and Matt Roth for -8 yards,1.090,-0.850
2,2:42,4,13,SDG 38,10,7,"Mike Scifres punts 49 yards, returned by Josh Cribbs for no gain",-0.850,0.320
2,2:33,1,10,CLE 13,10,7,Chris Jennings left tackle for 9 yards (tackle by Steve Gregory),-0.320,0.490
2,2:00,2,1,CLE 22,10,7,Chris Jennings left guard for 5 yards (tackle by Kevin Ellison),0.490,0.740
2,1:38,1,10,CLE 27,10,7,Brady Quinn pass incomplete short right intended for Mohamed Massaquoi,0.740,0.200
2,1:33,2,10,CLE 27,10,7,Chris Jennings right guard for no gain (tackle by Travis Johnson and Stephen Cooper),0.200,-0.490
2,0:51,3,10,CLE 27,10,7,Brady Quinn pass incomplete short right intended for Evan Moore. Penalty on Evan Moore: Offensive Pass Interfere (Declined),-0.490,-1.570
2,0:47,4,10,CLE 27,10,7,Reggie Hodges punts 43 yards,-1.570,-0.940
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,0:34,1,10,SDG 30,10,7,Philip Rivers pass complete short middle to Antonio Gates for 14 yards (tackle by Hank Poteat),0.940,1.860
2,0:25,,,,10,7,Timeout #1 by San Diego Chargers,0.000,1.860
2,0:25,1,10,SDG 44,10,7,Philip Rivers pass incomplete short right intended for Brandon Manumaleuna,1.860,1.320
2,0:21,2,10,SDG 44,10,7,Legedu Naanee pass complete short right to LaDainian Tomlinson for 21 yards,1.320,3.250
2,0:12,1,10,CLE 35,10,7,Philip Rivers pass incomplete deep left intended for Vincent Jackson,3.250,2.700
2,0:06,,,,10,7,Timeout #3 by Cleveland Browns,0.000,2.700
2,0:06,2,10,CLE 35,10,7,Philip Rivers pass complete short right to Malcom Floyd for 11 yards (tackle by Eric Wright),2.700,3.970
2,0:02,1,10,CLE 24,13,7,Nate Kaeding 42 yard field goal good,3.970,3.000
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,13,7,"Phil Dawson kicks off 66 yards, returned by Darren Sproles for 11 yards (tackle by Blake Costanzo)",0.000,-0.220
3,14:55,1,10,SDG 15,13,7,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,-0.220,-0.710
3,14:50,2,10,SDG 15,13,7,LaDainian Tomlinson left guard for 3 yards (tackle by David Bowens),-0.710,-1.000
3,14:07,3,7,SDG 18,13,7,Philip Rivers pass complete deep left to Antonio Gates for 36 yards (tackle by Mike Furrey),-1.000,2.520
3,13:26,1,10,CLE 46,13,7,LaDainian Tomlinson right guard for 2 yards (tackle by Abram Elam),2.520,2.250
3,12:48,2,8,CLE 44,13,7,LaDainian Tomlinson right guard for 6 yards (tackle by Ahtyba Rubin),2.250,2.350
3,12:03,3,2,CLE 38,13,7,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Kamerion Wimbley),2.350,3.310
3,11:26,1,10,CLE 34,13,7,Darren Sproles right guard for 3 yards (tackle by Robaire Smith),3.310,3.180
3,10:41,2,7,CLE 31,19,7,"Philip Rivers pass complete short left to Darren Sproles for 31 yards, touchdown",3.180,7.000
3,,,,CLE 2,20,7,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,20,7,"Nate Kaeding kicks off 54 yards, returned by Josh Cribbs for 20 yards (tackle by Kevin Burnett)",0.000,1.330
3,10:24,1,10,CLE 36,20,7,Brady Quinn pass incomplete short left intended for Lawrence Vickers,1.330,0.790
3,10:18,2,10,CLE 36,20,7,Jerome Harrison left guard for 5 yards (tackle by Kevin Ellison and Ian Scott),0.790,0.760
3,9:35,3,5,CLE 41,20,7,Brady Quinn pass incomplete short middle intended for Mohamed Massaquoi (defended by Alfonso Boone),0.760,-0.650
3,9:30,4,5,CLE 41,20,7,"Reggie Hodges punts 41 yards, returned by Darren Sproles for -1 yards (tackle by Josh Cribbs)",-0.650,0.060
3,9:20,1,10,SDG 17,20,7,LaDainian Tomlinson right guard for -1 yards (tackle by Jason Trusnik and Kamerion Wimbley),-0.060,-0.730
3,8:42,2,11,SDG 16,20,7,Philip Rivers pass complete deep left to Antonio Gates for 56 yards (tackle by Abram Elam),-0.730,3.710
3,7:53,1,10,CLE 28,20,7,LaDainian Tomlinson right guard for 2 yards (tackle by Matt Roth),3.710,3.440
3,7:13,2,8,CLE 26,20,7,Philip Rivers pass complete deep left to Antonio Gates for 18 yards (tackle by Mike Adams),3.440,5.370
3,6:31,1,8,CLE 8,20,7,Philip Rivers pass complete short left to Malcom Floyd for 4 yards (tackle by Mike Adams),5.370,5.340
3,6:02,,,,20,7,Timeout #1 by San Diego Chargers,0.000,5.340
3,6:02,2,4,CLE 4,26,7,"LaDainian Tomlinson left guard for 4 yards, touchdown",5.340,7.000
3,,,,CLE 2,27,7,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,27,7,"Nate Kaeding kicks off 59 yards, returned by Josh Cribbs for 42 yards (tackle by Larry English)",0.000,2.460
3,5:49,1,10,SDG 47,27,7,Chris Jennings left tackle for 9 yards (tackle by Stephen Cooper and Kevin Ellison),2.460,3.130
3,5:05,2,1,SDG 38,27,7,Brady Quinn sacked by Marques Harris for -4 yards,3.130,1.880
3,4:28,3,5,SDG 42,27,7,Brady Quinn pass incomplete short right intended for Jerome Harrison,1.880,0.460
3,4:23,4,5,SDG 42,27,7,"Penalty on Kaluka Maiava: False Start, 5 yards (no play)",0.460,0.130
3,4:23,4,10,SDG 47,27,7,"Reggie Hodges punts 47 yards, touchback",0.130,-0.280
3,4:14,1,10,SDG 20,27,7,LaDainian Tomlinson left tackle for 2 yards (tackle by Abram Elam),0.280,0.000
3,3:34,2,8,SDG 22,27,7,"Philip Rivers pass incomplete deep left intended for Vincent Jackson. Penalty on Mike Adams: Illegal Contact, 5 yards (no play)",0.000,0.740
3,3:28,1,10,SDG 27,27,7,LaDainian Tomlinson right guard for 2 yards (tackle by Matt Roth),0.740,0.470
3,2:47,2,8,SDG 29,27,7,Darren Sproles left guard for 8 yards (tackle by Jason Trusnik),0.470,1.400
3,2:11,1,10,SDG 37,27,7,Darren Sproles left tackle for 7 yards (tackle by Abram Elam and Ahtyba Rubin),1.400,1.800
3,1:27,2,3,SDG 44,27,7,Philip Rivers pass complete short left to Malcom Floyd for 15 yards (tackle by Ahtyba Rubin),1.800,2.850
3,0:40,1,10,CLE 41,27,7,LaDainian Tomlinson left guard for 6 yards (tackle by Brian Schaefering),2.850,3.120
Quarter,Time,Down,ToGo,Location,SDG,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,CLE 35,27,7,LaDainian Tomlinson left tackle for -1 yards (tackle by Mike Adams),3.120,2.280
4,14:21,3,5,CLE 36,27,7,Philip Rivers pass complete short right to Darren Sproles for 4 yards (tackle by Mike Adams),2.280,1.310
4,13:54,4,1,CLE 32,27,7,Jacob Hester right guard for no gain (tackle by Matt Roth),1.310,-1.070
4,13:45,1,10,CLE 32,27,7,Josh Cribbs for 30 yards (tackle by Kevin Ellison),1.070,3.050
4,13:24,1,10,SDG 38,27,7,Josh Cribbs left tackle for -1 yards (tackle by Shaun Phillips),3.050,2.370
4,13:00,2,11,SDG 39,27,7,Chansi Stuckey for 6 yards (tackle by Antoine Cason),2.370,2.480
4,12:19,3,5,SDG 33,27,7,Josh Cribbs right guard for 2 yards (tackle by C.J. Spillman and Shaun Phillips),2.480,1.380
4,11:33,4,3,SDG 31,27,7,Brady Quinn pass complete short left to Josh Cribbs for 6 yards (tackle by Kevin Burnett),1.380,3.910
4,10:47,1,10,SDG 25,27,7,Brady Quinn pass incomplete short middle intended for Evan Moore (defended by Brandon Siler),3.910,3.360
4,10:44,2,10,SDG 25,27,7,Brady Quinn pass complete short right to Chansi Stuckey for 9 yards (tackle by Antoine Cason),3.360,4.060
4,10:03,3,1,SDG 16,27,7,Brady Quinn pass complete short right to Chansi Stuckey for 8 yards (tackle by Antoine Cason),4.060,5.370
4,9:23,1,8,SDG 8,27,13,"Brady Quinn pass complete short middle to Jerome Harrison for 8 yards, touchdown",5.370,7.000
4,,,,SDG 2,27,14,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,,,"Phil Dawson kicks off 51 yards, returned by Darren Sproles for no gain",,
4,9:14,1,10,SDG 19,27,14,LaDainian Tomlinson right guard for 11 yards (tackle by Hank Poteat),0.150,0.940
4,8:31,1,10,SDG 30,27,14,Darren Sproles left guard for 5 yards (tackle by Corey Williams),0.940,1.070
4,7:50,2,5,SDG 35,27,14,Philip Rivers pass complete deep right to Vincent Jackson for 41 yards (tackle by Hank Poteat). Penalty on Eric Wright: Illegal Contact (Declined),1.070,3.970
4,7:25,1,10,CLE 24,27,14,Darren Sproles for 1 yard (tackle by Mike Adams),3.970,3.570
4,7:06,2,9,CLE 23,27,14,Darren Sproles right guard for 2 yards (tackle by Robaire Smith),3.570,3.140
4,6:23,3,7,CLE 21,27,14,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Hank Poteat),3.140,4.910
4,5:42,1,10,CLE 10,27,14,LaDainian Tomlinson right guard for 2 yards (tackle by Corey Williams),4.910,4.570
4,5:03,2,8,CLE 8,27,14,LaDainian Tomlinson for 2 yards (tackle by Kamerion Wimbley),4.570,4.040
4,4:58,3,6,CLE 6,27,14,LaDainian Tomlinson right tackle for 2 yards (tackle by Robaire Smith and Kamerion Wimbley),4.040,3.030
4,4:16,4,4,CLE 4,30,14,Nate Kaeding 22 yard field goal good,3.030,3.000
4,,,,SDG 30,30,14,"Nate Kaeding kicks off 60 yards, returned by Josh Cribbs for 32 yards (tackle by Kevin Ellison)",0.000,1.730
4,4:05,1,10,CLE 42,30,14,Brady Quinn pass complete short right to Evan Moore for 7 yards (tackle by Kevin Burnett),1.730,2.130
4,3:39,2,3,CLE 49,30,14,Brady Quinn pass complete short right to Brian Robiskie for 5 yards (tackle by Antoine Cason),2.130,2.520
4,3:12,1,10,SDG 46,30,14,Brady Quinn pass complete short middle to Chris Jennings for 2 yards (tackle by Stephen Cooper),2.520,2.250
4,2:48,2,8,SDG 44,30,14,Brady Quinn pass incomplete deep left intended for Mohamed Massaquoi,2.250,1.550
4,2:44,3,8,SDG 44,30,14,Brady Quinn pass complete short right to Jerome Harrison for 17 yards (tackle by Paul Oliver),1.550,3.780
4,2:20,1,10,SDG 27,30,14,"Brady Quinn pass incomplete deep left intended for Mohamed Massaquoi. Penalty on Antonio Cromartie: Illegal Contact, 5 yards (no play)",3.780,4.110
4,2:14,1,10,SDG 22,30,14,Brady Quinn pass complete short middle to Brian Robiskie for 14 yards (tackle by C.J. Spillman),4.110,5.370
4,2:00,1,8,SDG 8,30,20,"Brady Quinn pass complete short middle to Jerome Harrison for 8 yards, touchdown",5.370,7.000
4,,,,,30,20,"Two Point Attempt: Brady Quinn middle, conversion fails",1.000,-1.000
4,,,,CLE 30,30,20,Phil Dawson kicks onside 11 yards (onside kick successful),0.000,1.660
4,1:54,1,10,CLE 41,30,20,Brady Quinn pass incomplete deep right intended for Mohamed Massaquoi,1.660,1.120
4,1:47,2,10,CLE 41,30,20,Brady Quinn pass incomplete short middle intended for Evan Moore,1.120,0.430
4,1:44,3,10,CLE 41,30,20,Brady Quinn pass complete short right to Mohamed Massaquoi for 13 yards (tackle by Antoine Cason),0.430,2.520
4,1:22,1,10,SDG 46,30,20,Brady Quinn pass incomplete short middle intended for Jerome Harrison,2.520,1.980
4,1:18,2,10,SDG 46,30,20,Brady Quinn pass incomplete deep right intended for Mohamed Massaquoi,1.980,1.290
4,1:12,3,10,SDG 46,30,20,Brady Quinn pass incomplete short right intended for Jerome Harrison (defended by Shaun Phillips),1.290,0.200
4,1:07,4,10,SDG 46,30,20,Brady Quinn pass complete short middle to Evan Moore for 13 yards (tackle by Stephen Cooper),0.200,3.380
4,0:59,,,,30,20,Timeout #1 by Cleveland Browns,0.000,3.380
4,0:59,1,10,SDG 33,30,20,Brady Quinn pass incomplete deep left intended for Brian Robiskie,3.380,2.840
4,0:52,2,10,SDG 33,30,20,Brady Quinn pass complete short right to Jerome Harrison for 2 yards (tackle by Kevin Burnett),2.840,2.410
4,0:47,3,8,SDG 31,30,20,Brady Quinn pass incomplete short left intended for Jerome Harrison,2.410,1.320
4,0:43,4,8,SDG 31,30,23,Phil Dawson 49 yard field goal good,1.320,3.000
4,,,,CLE 30,30,23,Phil Dawson kicks onside 9 yards,0.000,2.980
4,0:36,1,10,CLE 39,30,23,Philip Rivers kneels for -1 yards,2.980,2.300
4,0:35,,,,30,23,Timeout #2 by Cleveland Browns,0.000,2.300
4,0:35,2,11,CLE 40,30,23,Philip Rivers kneels for -1 yards,2.300,1.490
4,0:33,,,,30,23,Timeout #3 by Cleveland Browns,0.000,1.490
4,0:33,3,12,CLE 41,30,23,Philip Rivers kneels for -1 yards,1.490,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
