Unnamed: 0,KAN,CIN
First Downs,24,18
Rush-Yds-TDs,23-113-0,26-124-4
Cmp-Att-Yd-TD-INT,31-45-386-0-0,17-24-321-1-0
Sacked-Yards,5-38,0-0
Net Pass Yards,348,321
Total Yards,461,445
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,7-46,11-84
Third Down Conv.,7-16,6-10
Fourth Down Conv.,0-0,0-0
Time of Possession,36:53,23:07
