Quarter,Time,Tm,Detail,KAN,CIN
1.0,11:33,Bengals,Jeremy Hill 8 yard rush (Mike Nugent kick),0,7
,4:35,Chiefs,Cairo Santos 22 yard field goal,3,7
,0:53,Bengals,Giovani Bernard 13 yard rush (Mike Nugent kick),3,14
2.0,12:44,Chiefs,Cairo Santos 40 yard field goal,6,14
,6:09,Chiefs,Cairo Santos 51 yard field goal,9,14
,0:04,Chiefs,Cairo Santos 34 yard field goal,12,14
3.0,8:43,Bengals,Brandon Tate 55 yard pass from Andy Dalton (Mike Nugent kick),12,21
,4:37,Chiefs,Cairo Santos 40 yard field goal,15,21
,0:11,Bengals,Jeremy Hill 5 yard rush (Jeremy Hill run),15,29
4.0,9:28,Chiefs,Cairo Santos 29 yard field goal,18,29
,4:50,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),18,36
,2:34,Chiefs,Cairo Santos 51 yard field goal,21,36
