Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Reggie Bush,NOR,0,0,,0,0,2,1,0.5,0,1
Lance Moore,NOR,0,0,,0,0,1,2,2.0,0,2
Pierre Thomas,NOR,3,63,21.0,0,23,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Devin Hester,CHI,0,0,,0,0,2,-2,-1.0,0,5
Danieal Manning,CHI,5,179,35.8,1,83,0,0,,0,0
Kellen Davis,CHI,1,13,13.0,0,13,0,0,,0,0
