Unnamed: 0,NOR,CHI
First Downs,22,16
Rush-Yds-TDs,32-119-1,20-55-2
Cmp-Att-Yd-TD-INT,24-43-232-2-2,24-41-172-0-2
Sacked-Yards,1-6,1-1
Net Pass Yards,226,171
Total Yards,345,226
Fumbles-Lost,0-0,1-1
Turnovers,2,3
Penalties-Yards,5-97,4-24
Third Down Conv.,7-17,5-12
Fourth Down Conv.,1-2,0-1
Time of Possession,36:32,26:14
