Quarter,Time,Tm,Detail,STL,PHI
1.0,12:16,Eagles,Brian Westbrook 1 yard pass from Donovan McNabb (David Akers kick),0,7
,1:53,Eagles,L.J. Smith 5 yard pass from Donovan McNabb (David Akers kick),0,14
2.0,0:47,Eagles,Hank Baskett 90 yard pass from Donovan McNabb (David Akers kick),0,21
3.0,5:45,Eagles,Tony Hunt 1 yard rush (David Akers kick),0,28
,2:29,Eagles,David Akers 23 yard field goal,0,31
4.0,12:06,Eagles,Brian Westbrook 6 yard rush (David Akers kick),0,38
,9:00,Rams,Josh Brown 46 yard field goal,3,38
