Quarter,Time,Down,ToGo,Location,STL,PHI,Detail,EPB,EPA
1,5:52,2,5,PHI 35,0,7,Brian Westbrook left tackle for 5 yards (tackle by Corey Chavous),1.070,1.600
1,5:10,1,10,PHI 40,0,7,Correll Buckhalter left tackle for -2 yards (tackle by Pisa Tinoisamoa),1.600,0.780
1,4:25,2,12,PHI 38,0,7,Donovan McNabb pass incomplete short middle intended for L.J. Smith,0.780,0.100
1,4:16,3,12,PHI 38,0,7,Donovan McNabb pass complete deep middle to Jason Avant for 31 yards (tackle by Pisa Tinoisamoa),0.100,3.510
1,3:29,1,10,STL 31,0,7,Donovan McNabb pass complete short left to L.J. Smith for 8 yards (tackle by O.J. Atogwe),3.510,4.050
1,2:45,2,2,STL 23,0,7,Brian Westbrook right end for 18 yards (tackle by O.J. Atogwe),4.050,6.060
1,1:58,1,5,STL 5,0,13,"Donovan McNabb pass complete short middle to L.J. Smith for 5 yards, touchdown",6.060,7.000
1,,,,STL 2,0,14,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,14,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,1:53,1,10,STL 20,0,14,Steven Jackson left tackle for 3 yards (tackle by Stewart Bradley and Juqua Parker),0.280,0.140
1,1:13,2,7,STL 23,0,14,Marc Bulger pass incomplete deep left intended for Dane Looker,0.140,-0.560
1,1:06,3,7,STL 23,0,14,Marc Bulger pass incomplete short right intended for Keenan Burton (defended by Asante Samuel),-0.560,-1.830
1,1:00,4,7,STL 23,0,14,"Donnie Jones punts 51 yards, returned by DeSean Jackson for 11 yards (tackle by Chris Draft)",-1.830,-1.400
1,0:48,1,10,PHI 37,0,14,Donovan McNabb pass complete short left to Tony Hunt for 2 yards (tackle by Ronald Bartell),1.400,1.130
1,0:12,2,8,PHI 39,0,14,Brian Westbrook left end for 2 yards (tackle by James Hall),1.130,0.700
Quarter,Time,Down,ToGo,Location,STL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,PHI 41,0,14,Donovan McNabb pass incomplete deep right intended for DeSean Jackson,0.700,-0.650
2,14:55,4,6,PHI 41,0,14,"Saverio Rocca punts 59 yards, touchback. Penalty on Omar Gaither: Illegal Formation, 5 yards",-0.650,-0.610
2,14:47,1,10,STL 25,0,14,Marc Bulger pass complete short right to Randy McMichael for 8 yards (tackle by Stewart Bradley),0.610,1.140
2,14:16,2,2,STL 33,0,14,Marc Bulger pass complete short left to Dante Hall for 3 yards (tackle by Sheldon Brown),1.140,1.330
2,13:35,1,10,STL 36,0,14,Dante Hall right end for -4 yards (tackle by Darren Howard),1.330,0.250
2,12:55,2,14,STL 32,0,14,Marc Bulger pass complete short right to Randy McMichael for 15 yards (tackle by Quintin Mikell),0.250,2.060
2,12:15,1,10,STL 47,0,14,"Penalty on Richie Incognito: False Start, 5 yards (no play)",2.060,1.730
2,12:00,1,15,STL 42,0,14,Steven Jackson left end for 4 yards (tackle by Omar Gaither),1.730,1.380
2,11:15,2,11,STL 46,0,14,"Penalty on Jacob Bell: False Start, 5 yards (no play)",1.380,0.710
2,10:50,,,,0,14,Timeout #2 by St. Louis Rams,0.000,0.710
2,10:50,2,16,STL 41,0,14,Marc Bulger pass incomplete short left intended for Dan Kreider,0.710,0.040
2,10:44,3,16,STL 41,0,14,Marc Bulger pass incomplete short right intended for Steven Jackson,0.040,-0.650
2,10:39,4,16,STL 41,0,14,Donnie Jones punts 50 yards,-0.650,0.380
2,10:28,1,10,PHI 9,0,14,Donovan McNabb pass complete deep middle to Greg Lewis for 52 yards (tackle by Tye Hill),-0.380,2.980
2,9:36,,,,0,14,Timeout #1 by Philadelphia Eagles,0.000,2.980
2,9:36,1,10,STL 39,0,14,Donovan McNabb pass incomplete deep left intended for DeSean Jackson,2.980,2.440
2,9:30,2,10,STL 39,0,14,Donovan McNabb pass complete short middle to Jason Avant for 5 yards (tackle by Ronald Bartell),2.440,2.410
2,8:50,3,5,STL 34,0,14,Brian Westbrook right end for -6 yards (tackle by Ronald Bartell),2.410,0.590
2,8:18,4,11,STL 40,0,14,Saverio Rocca punts 38 yards,0.590,0.380
2,8:09,1,10,STL 2,0,14,Steven Jackson up the middle for 7 yards (tackle by Quintin Mikell),-0.380,-0.270
2,7:33,2,3,STL 9,0,14,Steven Jackson up the middle for 2 yards (tackle by Trent Cole and Brodrick Bunkley),-0.270,-0.370
2,6:50,3,1,STL 11,0,14,Steven Jackson right end for no gain (tackle by Trent Cole),-0.370,-2.490
2,6:15,4,1,STL 11,0,14,"Donnie Jones punts 49 yards, returned by DeSean Jackson for 3 yards (tackle by Ricky Manning)",-2.490,-1.800
2,5:58,1,10,PHI 43,0,14,Donovan McNabb pass complete short left to Greg Lewis for 14 yards (tackle by Fakhir Brown),1.800,2.720
2,5:16,1,10,STL 43,0,14,Lorenzo Booker right end for no gain (tackle by Tye Hill and Pisa Tinoisamoa),2.720,2.180
2,4:36,2,10,STL 43,0,14,Donovan McNabb pass incomplete short right intended for L.J. Smith,2.180,1.490
2,4:31,3,10,STL 43,0,14,Donovan McNabb pass incomplete deep left intended for Greg Lewis,1.490,0.400
2,4:27,4,10,STL 43,0,14,Saverio Rocca punts 41 yards,0.400,0.380
2,4:18,1,10,STL 2,0,14,"Penalty on Alex Barron: False Start, 1 yards (no play)",-0.380,-0.420
2,4:18,1,11,STL 1,0,14,Steven Jackson right tackle for 2 yards (tackle by Trent Cole),-0.420,-0.710
2,3:43,2,9,STL 3,0,14,"Marc Bulger pass incomplete deep right intended for Dane Looker. Penalty on Quintin Mikell: Defensive Pass Interference, 26 yards (no play)",-0.710,0.870
2,3:39,1,10,STL 29,0,14,Marc Bulger pass complete deep right to Steven Jackson for 24 yards (tackle by Sheldon Brown),0.870,2.460
2,3:01,1,10,PHI 47,0,14,"Marc Bulger sacked by Quintin Mikell for -6 yards. Marc Bulger fumbles (forced by Quintin Mikell), recovered by Marc Bulger at STL-47",2.460,1.100
2,2:16,2,16,STL 47,0,14,"Penalty on Nick Leckey: False Start, 5 yards (no play)",1.100,0.430
2,2:00,2,21,STL 42,0,14,Marc Bulger pass incomplete short left intended for Randy McMichael (defended by Stewart Bradley),0.430,-0.230
2,1:57,3,21,STL 42,0,14,Marc Bulger pass incomplete deep right intended for Dane Looker (defended by Brian Dawkins),-0.230,-0.590
2,1:52,4,21,STL 42,0,14,"Donnie Jones punts 45 yards, returned by DeSean Jackson for -5 yards (tackle by Jonathan Wade)",-0.590,0.380
2,1:41,1,10,PHI 8,0,14,Brian Westbrook right tackle for 1 yard,-0.380,-0.710
2,1:38,,,,0,14,Timeout #3 by St. Louis Rams,0.000,-0.710
2,1:38,2,9,PHI 9,0,14,Brian Westbrook up the middle for 1 yard (tackle by James Hall),-0.710,-1.190
2,1:00,3,8,PHI 10,0,20,"Donovan McNabb pass complete deep left to Hank Baskett for 90 yards, touchdown",-1.190,7.000
2,,,,STL 2,0,21,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,0,21,"David Akers kicks off 71 yards, returned by Dante Hall for 10 yards (tackle by Akeem Jordan)",0.000,-0.380
2,0:41,1,10,STL 9,0,21,Marc Bulger pass incomplete short left intended for Steven Jackson,-0.380,-0.780
2,0:38,2,10,STL 9,0,21,Steven Jackson up the middle for 4 yards (tackle by Stewart Bradley),-0.780,-0.950
2,0:32,,,,0,21,Timeout #2 by Philadelphia Eagles,0.000,-0.950
2,0:32,3,6,STL 13,0,21,Marc Bulger pass incomplete short left intended for Torry Holt,-0.950,-2.490
2,0:28,4,6,STL 13,0,21,"Donnie Jones punts 57 yards, returned by DeSean Jackson for 6 yards (tackle by Gary Stills)",-2.490,-1.330
2,0:16,1,10,PHI 36,0,21,Donovan McNabb pass incomplete short left intended for DeSean Jackson,1.330,0.790
2,0:13,2,10,PHI 36,0,21,Donovan McNabb pass complete deep right to DeSean Jackson for 19 yards (tackle by O.J. Atogwe),0.790,2.590
2,0:07,1,10,STL 45,0,21,Donovan McNabb pass complete short right to DeSean Jackson for 4 yards,2.590,2.580
2,0:02,,,,0,21,Timeout #3 by Philadelphia Eagles,0.000,2.580
2,0:02,2,6,STL 41,0,21,Donovan McNabb pass incomplete deep right intended for Hank Baskett,2.580,1.880
Quarter,Time,Down,ToGo,Location,STL,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,0,21,"David Akers kicks off 71 yards, returned by Dante Hall for 21 yards (tackle by Jason Avant)",0.000,0.280
3,14:55,1,10,STL 20,0,21,Steven Jackson right end for -4 yards (tackle by Stewart Bradley),0.280,-0.940
3,14:17,2,14,STL 16,0,21,Steven Jackson right end for 3 yards (tackle by Mike Patterson),-0.940,-1.140
3,13:34,3,11,STL 19,0,21,Marc Bulger pass complete short right to Torry Holt for 9 yards (tackle by Stewart Bradley),-1.140,-1.500
3,12:58,4,2,STL 28,0,21,"Donnie Jones punts 44 yards, returned by DeSean Jackson for -4 yards (tackle by Todd Johnson)",-1.500,-0.540
3,12:47,1,10,PHI 24,0,21,Brian Westbrook right tackle for 9 yards (tackle by James Hall),0.540,1.210
3,12:14,2,1,PHI 33,0,21,Brian Westbrook left tackle for no gain (tackle by La'Roi Glover and James Hall),1.210,0.500
3,11:35,3,1,PHI 33,0,21,Donovan McNabb pass incomplete short right intended for Greg Lewis,0.500,-1.180
3,11:28,4,1,PHI 33,0,21,"Saverio Rocca punts 48 yards, returned by Dante Hall for -2 yards (tackle by Joselio Hanson)",-1.180,0.060
3,11:22,1,10,STL 17,0,21,Marc Bulger pass incomplete short right intended for Dane Looker (defended by Asante Samuel),-0.060,-0.580
3,11:19,2,10,STL 17,0,21,Marc Bulger pass incomplete short right intended for Steven Jackson (defended by Omar Gaither),-0.580,-1.250
3,11:14,3,10,STL 17,0,21,Marc Bulger pass complete short middle to Randy McMichael for 5 yards (tackle by Quintin Mikell),-1.250,-1.900
3,10:40,4,5,STL 22,0,21,"Donnie Jones punts 52 yards, returned by DeSean Jackson for 18 yards (tackle by Gary Stills)",-1.900,-1.860
3,10:28,1,10,PHI 44,0,21,Donovan McNabb pass incomplete deep middle intended for L.J. Smith,1.860,1.320
3,10:22,2,10,PHI 44,0,21,Brian Westbrook left end for 9 yards (tackle by James Hall),1.320,1.820
3,9:38,3,1,STL 47,0,21,"Brian Westbrook left end for 3 yards (tackle by O.J. Atogwe). Brian Westbrook fumbles (forced by O.J. Atogwe), ball out of bounds at STL-43",1.820,2.650
3,9:03,1,10,STL 44,0,21,Donovan McNabb for 3 yards (tackle by Quinton Culberson),2.650,2.520
3,8:27,2,7,STL 41,0,21,Brian Westbrook right end for 5 yards (tackle by Corey Chavous),2.520,2.480
3,7:50,3,2,STL 36,0,21,Brian Westbrook left tackle for 4 yards (tackle by James Hall),2.480,3.450
3,7:07,1,10,STL 32,0,21,Donovan McNabb pass complete deep right to DeSean Jackson for 25 yards (tackle by O.J. Atogwe),3.450,5.600
3,6:27,1,7,STL 7,0,21,Donovan McNabb pass complete short right to L.J. Smith for 6 yards (tackle by Ronald Bartell),5.600,5.910
3,5:48,2,1,STL 1,0,27,"Tony Hunt right guard for 1 yard, touchdown",5.910,7.000
3,,,,STL 2,0,28,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,0,28,"David Akers kicks off 67 yards, returned by Dante Hall for 22 yards (tackle by Sean Considine)",0.000,0.610
3,5:39,1,10,STL 25,0,28,"Penalty on Randy McMichael: False Start, 5 yards (no play)",0.610,0.280
3,5:39,1,15,STL 20,0,28,Marc Bulger pass complete short right to Dante Hall for 4 yards (tackle by Brian Dawkins),0.280,-0.070
3,5:00,2,11,STL 24,0,28,Marc Bulger sacked by Dan Klecko for -7 yards,-0.070,-1.930
3,4:22,3,18,STL 17,0,28,Marc Bulger pass complete short middle to Steven Jackson for 5 yards (tackle by Stewart Bradley),-1.930,-1.900
3,3:45,4,13,STL 22,0,28,"Donnie Jones punts 47 yards, returned by DeSean Jackson for 60 yards (tackle by Donnie Jones)",-1.900,-5.140
3,3:26,1,9,STL 9,0,28,"Penalty on L.J. Smith: False Start, 5 yards (no play)",5.140,4.440
3,3:25,1,14,STL 14,0,28,Donovan McNabb pass incomplete short right intended for L.J. Smith,4.440,3.580
3,3:20,2,14,STL 14,0,28,Brian Westbrook left end for 9 yards (tackle by O.J. Atogwe),3.580,4.260
3,2:37,3,5,STL 5,0,28,Donovan McNabb pass incomplete short middle intended for L.J. Smith (defended by Corey Chavous),4.260,3.010
3,2:31,4,5,STL 5,0,31,David Akers 23 yard field goal good,3.010,3.000
3,,,,PHI 30,0,31,"David Akers kicks off 64 yards, returned by Dante Hall for 19 yards (tackle by Tony Hunt)",0.000,0.610
3,2:24,1,10,STL 25,0,31,Steven Jackson right end for 9 yards (tackle by Stewart Bradley and Quintin Mikell),0.610,1.280
3,1:51,2,1,STL 34,0,31,Steven Jackson up the middle for -2 yards (tackle by Sean Considine),1.280,0.300
3,1:09,3,3,STL 32,0,31,Marc Bulger pass incomplete short right intended for Steven Jackson (defended by Chris Clemons),0.300,-1.240
3,1:06,4,3,STL 32,0,31,"Donnie Jones punts 44 yards, returned by Joselio Hanson for no gain",-1.240,-0.540
3,0:57,1,10,PHI 24,0,31,Donovan McNabb pass complete short left to Hank Baskett for 12 yards (tackle by Fakhir Brown),0.540,1.330
3,0:17,1,10,PHI 36,0,31,"Donovan McNabb pass incomplete deep left intended for Hank Baskett. Penalty on Fakhir Brown: Defensive Pass Interference, 20 yards (no play)",1.330,2.650
3,0:12,1,10,STL 44,0,31,Brian Westbrook left end for 11 yards (tackle by James Hall),2.650,3.380
Quarter,Time,Down,ToGo,Location,STL,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 33,0,31,Donovan McNabb pass complete short right to DeSean Jackson for 11 yards (tackle by Tye Hill),3.380,4.110
4,14:20,1,10,STL 22,0,31,Brian Westbrook left guard for 6 yards (tackle by O.J. Atogwe),4.110,4.460
4,13:39,2,4,STL 16,0,31,Donovan McNabb pass complete short middle to L.J. Smith for 10 yards (tackle by Will Witherspoon),4.460,5.830
4,12:51,1,6,STL 6,0,31,Brian Westbrook left end for no gain (tackle by Adam Carriker and Quinton Culberson),5.830,4.950
4,12:10,2,6,STL 6,0,37,"Brian Westbrook left tackle for 6 yards, touchdown",4.950,7.000
4,,,,STL 2,0,38,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,0,38,"David Akers kicks off 70 yards, touchback",0.000,0.280
4,12:06,1,10,STL 20,0,38,Marc Bulger pass complete deep left to Randy McMichael for 31 yards (tackle by Akeem Jordan),0.280,2.320
4,11:36,1,10,PHI 49,0,38,Marc Bulger pass complete deep right to Dane Looker for 21 yards,2.320,3.710
4,11:11,1,10,PHI 28,0,38,Marc Bulger sacked by Stewart Bradley for -6 yards,3.710,2.360
4,10:45,2,16,PHI 34,0,38,Marc Bulger pass complete short right to Dante Hall for 6 yards (tackle by Joselio Hanson),2.360,2.480
4,10:12,3,10,PHI 28,0,38,"Penalty on Dane Looker: False Start, 5 yards (no play)",2.480,1.820
4,9:44,,,,0,38,Timeout #1 by St. Louis Rams,0.000,1.820
4,9:44,3,15,PHI 33,0,38,Marc Bulger pass complete short right to Steven Jackson for 5 yards (tackle by Lito Sheppard),1.820,1.590
4,9:06,4,10,PHI 28,3,38,Josh Brown 46 yard field goal good,1.590,3.000
4,,,,STL 30,3,38,"Josh Brown kicks off 63 yards, returned by Quintin Demps for 15 yards (tackle by Chris Chamberlain)",0.000,0.410
4,8:55,1,10,PHI 22,3,38,Lorenzo Booker left end for no gain (tackle by Quinton Culberson),0.410,-0.130
4,8:16,2,10,PHI 22,3,38,Kevin Kolb pass complete short right to Brent Celek for 6 yards (tackle by Quinton Culberson),-0.130,-0.030
4,7:29,3,4,PHI 28,3,38,"Kevin Kolb pass incomplete deep right intended for Jason Avant. Penalty on Tye Hill: Illegal Contact, 5 yards (no play)",-0.030,1.140
4,7:23,1,10,PHI 33,3,38,Kevin Kolb pass complete short right to Greg Lewis for 15 yards (tackle by Will Witherspoon),1.140,2.130
4,6:38,1,10,PHI 48,3,38,Lorenzo Booker up the middle for 4 yards (tackle by Clifton Ryan and Will Witherspoon),2.130,2.120
4,5:56,2,6,STL 48,3,38,Kevin Kolb pass incomplete short right intended for Jason Avant (defended by Tye Hill),2.120,1.420
4,5:51,3,6,STL 48,3,38,Kevin Kolb pass complete short right to Brent Celek for 9 yards (tackle by Pisa Tinoisamoa),1.420,2.980
4,5:06,1,10,STL 39,3,38,Lorenzo Booker up the middle for 1 yard (tackle by Corey Chavous),2.980,2.580
4,4:23,2,9,STL 38,3,38,Kevin Kolb pass complete short right to Greg Lewis for 7 yards (tackle by O.J. Atogwe),2.580,2.810
4,3:39,3,2,STL 31,3,38,Tony Hunt up the middle for 2 yards (tackle by Chris Draft and James Hall),2.810,3.640
4,2:56,1,10,STL 29,3,38,"Penalty on Max Jean-Gilles: False Start, 5 yards (no play)",3.640,3.310
4,2:55,1,15,STL 34,3,38,Lorenzo Booker right guard for 4 yards (tackle by James Hall and La'Roi Glover),3.310,2.970
4,2:12,2,11,STL 30,3,38,Kevin Kolb pass complete short middle to Greg Lewis for 16 yards (tackle by Tye Hill),2.970,4.650
4,2:00,1,10,STL 14,3,38,Kevin Kolb kneels for -1 yards,4.650,3.850
4,1:19,2,11,STL 15,3,38,Kevin Kolb kneels for -1 yards,3.850,3.000
4,0:38,3,12,STL 16,3,38,Kevin Kolb kneels for -1 yards,3.000,2.310
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
