Unnamed: 0,STL,PHI
First Downs,8,28
Rush-Yds-TDs,15-36-0,32-108-2
Cmp-Att-Yd-TD-INT,14-26-158-0-0,26-39-414-3-0
Sacked-Yards,4-28,0-0
Net Pass Yards,130,414
Total Yards,166,522
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,9-66,4-41
Third Down Conv.,0-11,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,24:50,35:10
