Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CHI 25,0,0,Cordarrelle Patterson left end for 7 yards (tackle by Jimmy Moreland),0.610,1.010
1,14:32,2,3,CHI 32,0,0,Tarik Cohen left guard for 1 yard (tackle by Montez Sweat),1.010,0.430
1,13:52,3,2,CHI 33,0,0,Mitchell Trubisky pass complete short right to Allen Robinson for 5 yards (tackle by Jimmy Moreland),0.430,1.470
1,13:11,1,10,CHI 38,0,0,Mitchell Trubisky pass complete short left to Cordarrelle Patterson for 6 yards (tackle by Jimmy Moreland),1.470,1.730
1,12:33,2,4,CHI 44,0,0,Mitchell Trubisky pass complete short right to David Montgomery for 5 yards (tackle by Cole Holcomb),1.730,2.190
1,12:01,1,10,CHI 49,0,0,Mitchell Trubisky pass complete short left to Allen Robinson for 9 yards (tackle by Cole Holcomb),2.190,2.860
1,11:54,2,1,WAS 42,0,0,"Penalty on Jonathan Allen: Neutral Zone Infraction, 5 yards (no play)",2.860,3.120
1,11:46,1,10,WAS 37,0,0,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen,3.120,2.570
1,11:42,2,10,WAS 37,0,0,Mitchell Trubisky pass complete short left to Trey Burton for 1 yard (tackle by Landon Collins),2.570,2.010
1,11:06,3,9,WAS 36,0,0,Mitchell Trubisky sacked by Montez Sweat for -14 yards. Penalty on Kyle Long: Illegal Use of Hands (Declined),2.010,-0.060
1,10:48,4,23,CHI 50,0,0,"Pat O'Donnell punts 50 yards, touchback.",-0.060,-0.280
1,10:40,1,10,WAS 20,0,0,Adrian Peterson left tackle for 1 yard (tackle by Danny Trevathan and Roquan Smith),0.280,-0.130
1,10:03,2,9,WAS 21,0,0,Case Keenum pass incomplete short middle intended for Paul Richardson (defended by Eddie Jackson). Penalty on Vernon Davis: Illegal Formation (Offsetting) (no play),-0.130,-0.130
1,9:58,2,9,WAS 21,0,0,Case Keenum pass incomplete deep middle intended for Jeremy Sprinkle,-0.130,-0.820
1,9:53,3,9,WAS 21,6,0,"Case Keenum pass deep left intended for Trey Quinn is intercepted by Ha Ha Clinton-Dix at WAS-37 and returned for 37 yards, touchdown",-0.820,-7.000
1,9:42,,,WAS 15,7,0,Eddy Pineiro kicks extra point good,0.000,0.000
1,9:42,,,CHI 35,7,0,"Pat O'Donnell kicks off 65 yards, touchback.",0.000,0.610
1,9:42,1,10,WAS 25,7,0,Adrian Peterson left guard for 5 yards (tackle by Ha Ha Clinton-Dix),0.610,0.740
1,9:21,2,5,WAS 30,7,0,Case Keenum pass complete short right to Paul Richardson for 6 yards (tackle by Kyle Fuller),0.740,1.330
1,8:43,1,10,WAS 36,7,0,Adrian Peterson up the middle for 2 yards (tackle by Roy Robertson-Harris),1.330,1.060
1,8:20,2,8,WAS 38,7,0,"Case Keenum sacked by Khalil Mack for -14 yards. Case Keenum fumbles (forced by Khalil Mack), recovered by Case Keenum at WAS-24",1.060,-1.480
1,7:28,3,22,WAS 24,7,0,Case Keenum pass complete short right to Chris Thompson for 11 yards (tackle by Deon Bush),-1.480,-1.040
1,6:50,4,11,WAS 35,7,0,"Tress Way punts 48 yards, returned by Tarik Cohen for 3 yards (tackle by Wendell Smallwood). Penalty on Duke Shelley: Offensive Holding, 10 yards",-1.040,0.380
1,6:37,1,10,CHI 10,7,0,Mitchell Trubisky pass complete short middle to Trey Burton for 11 yards (tackle by Jonathan Bostic),-0.380,0.340
1,6:13,1,10,CHI 21,7,0,"Tarik Cohen up the middle for 4 yards (tackle by Jonathan Bostic). Penalty on James Daniels: Offensive Holding, 10 yards (no play)",0.340,-0.720
1,5:44,1,20,CHI 11,7,0,Mitchell Trubisky sacked by Matthew Ioannidis for -9 yards,-0.720,-2.170
1,4:59,2,29,CHI 2,7,0,Mitchell Trubisky pass complete short middle to Allen Robinson for 10 yards (tackle by Josh Norman),-2.170,-2.470
1,4:20,3,19,CHI 12,7,0,Mitchell Trubisky pass complete short left to Taylor Gabriel for 10 yards (tackle by Fabian Moreau),-2.470,-1.900
1,3:41,4,9,CHI 22,7,0,"Pat O'Donnell punts 45 yards, returned by Trey Quinn for 9 yards (tackle by Deon Bush)",-1.900,-1.730
1,3:30,1,10,WAS 42,7,0,Case Keenum pass complete short middle to Jeremy Sprinkle for 11 yards (tackle by Danny Trevathan),1.730,2.460
1,3:07,1,10,CHI 47,7,0,Adrian Peterson left guard for 7 yards (tackle by Isaiah Irving),2.460,2.860
1,2:44,2,3,CHI 40,7,0,Case Keenum pass complete short right to Trey Quinn for 6 yards (tackle by Kyle Fuller),2.860,3.310
1,2:15,1,10,CHI 34,7,0,Adrian Peterson left guard for 4 yards (tackle by Khalil Mack and Buster Skrine),3.310,3.310
1,1:39,2,6,CHI 30,7,0,Case Keenum pass incomplete short right intended for Adrian Peterson,3.310,2.610
1,1:32,3,6,CHI 30,7,0,"Case Keenum sacked by Khalil Mack for no gain. Case Keenum fumbles (forced by Khalil Mack), recovered by Danny Trevathan at CHI-37. Penalty on Prince Amukamara: Illegal Use of Hands, 5 yards (no play)",2.610,3.910
1,1:25,1,10,CHI 25,7,0,Adrian Peterson left end for no gain (tackle by Leonard Floyd),3.910,3.360
1,0:47,2,10,CHI 25,7,0,Case Keenum pass incomplete short middle intended for Terry McLaurin,3.360,2.680
1,0:42,3,10,CHI 25,7,0,"Case Keenum pass incomplete short right intended for Paul Richardson (defended by Leonard Floyd). Penalty on Danny Trevathan: Defensive Offside, 5 yards (no play)",2.680,3.340
1,0:38,3,5,CHI 20,7,0,Case Keenum up the middle for 5 yards (tackle by Eddie Jackson). Penalty on Aaron Lynch: Defensive Offside (Declined),3.340,4.580
1,0:15,1,10,CHI 15,7,0,Adrian Peterson left end for 4 yards (tackle by Ha Ha Clinton-Dix and Roquan Smith),4.580,4.640
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CHI 11,7,0,"Case Keenum pass incomplete short right intended for Vernon Davis. Penalty on Donald Penn: Offensive Holding, 10 yards (no play)",4.640,3.210
2,14:56,2,16,CHI 21,7,0,Case Keenum pass complete short right to Trey Quinn for 7 yards (tackle by Buster Skrine),3.210,3.240
2,14:10,3,9,CHI 14,7,0,Case Keenum sacked by Danny Trevathan for -11 yards,3.240,1.800
2,13:26,4,20,CHI 25,7,0,Dustin Hopkins 43 yard field goal no good,1.800,-1.140
2,13:23,1,10,CHI 33,7,0,David Montgomery right tackle for no gain (tackle by Ryan Anderson),1.140,0.590
2,12:53,2,10,CHI 33,7,0,"Penalty on Ryan Anderson: Neutral Zone Infraction, 5 yards (no play)",0.590,1.270
2,12:35,2,5,CHI 38,7,0,"Penalty on Anthony Miller: False Start, 5 yards (no play)",1.270,0.590
2,12:13,2,10,CHI 33,7,0,Mitchell Trubisky pass complete short middle to David Montgomery for 6 yards (tackle by Jimmy Moreland),0.590,0.700
2,11:36,3,4,CHI 39,7,0,Mitchell Trubisky pass complete short middle to Allen Robinson for 11 yards (tackle by Jimmy Moreland),0.700,2.260
2,11:00,1,10,CHI 50,7,0,Mitchell Trubisky pass incomplete short right intended for Taylor Gabriel,2.260,1.710
2,10:54,2,10,CHI 50,7,0,"Mitchell Trubisky pass incomplete deep left intended for Anthony Miller. Penalty on Ryan Kerrigan: Defensive Offside, 5 yards (no play)",1.710,2.390
2,10:49,2,5,WAS 45,7,0,Mitchell Trubisky pass complete short middle to Trey Burton for 8 yards (tackle by Jimmy Moreland and Da'Ron Payne),2.390,3.120
2,10:13,1,10,WAS 37,7,0,Mitchell Trubisky right end for 2 yards (tackle by Landon Collins),3.120,2.840
2,9:31,2,8,WAS 35,7,0,"Mitchell Trubisky pass incomplete short middle intended for David Montgomery. Penalty on Jimmy Moreland: Illegal Contact, 4 yards (no play)",2.840,3.510
2,9:26,1,10,WAS 31,7,0,David Montgomery right guard for 8 yards (tackle by Matthew Ioannidis and Jonathan Bostic),3.510,4.050
2,8:53,2,2,WAS 23,7,0,Tarik Cohen up the middle for no gain (tackle by Montez Sweat),4.050,3.340
2,8:23,,,,,,Timeout #1 by Chicago Bears,,
2,8:23,3,2,WAS 23,7,0,Mitchell Trubisky pass complete short middle to Anthony Miller for 15 yards (tackle by Cole Holcomb),3.340,5.370
2,7:53,1,8,WAS 8,7,0,Cordarrelle Patterson left end for 5 yards (tackle by Cole Holcomb and Montae Nicholson),5.370,5.530
2,7:06,2,3,WAS 3,13,0,"Mitchell Trubisky pass complete short left to Taylor Gabriel for 3 yards, touchdown",5.530,7.000
2,7:00,,,WAS 15,14,0,Eddy Pineiro kicks extra point good,0.000,0.000
2,7:00,,,CHI 35,14,0,"Pat O'Donnell kicks off 65 yards, touchback.",0.000,0.610
2,7:00,1,10,WAS 25,14,0,"Case Keenum pass complete short middle to Terry McLaurin for 22 yards (tackle by Eddie Jackson and Prince Amukamara). Penalty on Steven Sims: Illegal Shift, 5 yards (no play)",0.610,0.280
2,6:34,1,15,WAS 20,14,0,"Case Keenum sacked by Khalil Mack for -9 yards. Case Keenum fumbles (forced by Khalil Mack), recovered by Akiem Hicks at WAS-11",0.280,-4.840
2,6:28,1,10,WAS 11,14,0,David Montgomery right tackle for 3 yards (tackle by Matthew Ioannidis and Landon Collins),4.840,4.700
2,5:52,2,7,WAS 8,14,0,"Mitchell Trubisky pass incomplete short middle intended for Allen Robinson (defended by Josh Norman). Penalty on Josh Norman: Defensive Pass Interference, 7 yards (no play)",4.700,6.970
2,5:46,1,1,WAS 1,20,0,"Mitchell Trubisky pass complete short right to Taylor Gabriel for 1 yard, touchdown",6.970,7.000
2,5:42,,,WAS 15,21,0,Eddy Pineiro kicks extra point good,0.000,0.000
2,5:42,,,CHI 35,21,0,"Pat O'Donnell kicks off 63 yards, returned by Steven Sims for 45 yards (tackle by Pat O'Donnell)",0.000,2.060
2,5:34,1,10,WAS 47,21,0,Chris Thompson right guard for 4 yards (tackle by Danny Trevathan),2.060,2.060
2,5:12,2,6,CHI 49,21,0,Case Keenum pass short right intended for Paul Richardson is intercepted by Kyle Fuller at CHI-37 and returned for no gain,2.060,-1.400
2,5:06,1,10,CHI 37,21,0,Mitchell Trubisky sacked by Josh Norman for no gain,1.400,0.860
2,4:28,2,10,CHI 37,21,0,Mitchell Trubisky pass complete short right to Tarik Cohen for 2 yards (tackle by Jonathan Bostic),0.860,0.430
2,3:54,3,8,CHI 39,21,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 13 yards (tackle by Jonathan Bostic),0.430,2.390
2,3:08,1,10,WAS 48,21,0,Mitchell Trubisky pass complete short middle to Adam Shaheen for 7 yards (tackle by Cole Holcomb and Jonathan Bostic),2.390,2.790
2,2:29,2,3,WAS 41,21,0,Cordarrelle Patterson right guard for 1 yard (tackle by Cole Holcomb),2.790,2.210
2,2:00,3,2,WAS 40,21,0,Mitchell Trubisky pass complete short middle to Allen Robinson for 11 yards (tackle by Landon Collins),2.210,3.640
2,1:19,1,10,WAS 29,21,0,Mitchell Trubisky pass incomplete short left intended for Anthony Miller,3.640,3.100
2,1:16,2,10,WAS 29,21,0,"Mitchell Trubisky pass incomplete deep left intended for Anthony Miller. Penalty on Cody Whitehair: Offensive Holding, 10 yards (no play)",3.100,1.750
2,1:10,2,20,WAS 39,21,0,Mitchell Trubisky pass complete short right to David Montgomery for 3 yards (tackle by Montae Nicholson),1.750,1.490
2,0:49,,,,,,Timeout #1 by Washington Redskins,,
2,0:49,3,17,WAS 36,27,0,"Mitchell Trubisky pass complete deep right to Taylor Gabriel for 36 yards, touchdown",1.490,7.000
2,0:43,,,WAS 15,28,0,Eddy Pineiro kicks extra point good,0.000,0.000
2,0:43,,,CHI 35,28,0,"Pat O'Donnell kicks off 64 yards, returned by Steven Sims for 26 yards (tackle by Nick Kwiatkoski)",0.000,0.740
2,0:37,1,10,WAS 27,28,0,Case Keenum pass complete short left to Terry McLaurin for 7 yards (tackle by Prince Amukamara),0.740,1.140
2,0:32,2,3,WAS 34,28,0,Case Keenum pass complete deep left to Terry McLaurin for 17 yards,1.140,2.320
2,0:27,1,10,CHI 49,28,0,Case Keenum pass complete deep right to Paul Richardson for 22 yards (tackle by Buster Skrine). Penalty on Khalil Mack: Illegal Use of Hands (Declined),2.320,3.780
2,0:18,1,10,CHI 27,28,0,Case Keenum pass complete short left to Trey Quinn for 5 yards (tackle by Buster Skrine),3.780,3.910
2,0:11,,,,,,Timeout #2 by Chicago Bears,,
2,0:11,2,5,CHI 22,28,0,"Case Keenum sacked by Khalil Mack for no gain. Penalty on Khalil Mack: Defensive Offside, 5 yards (no play)",3.910,4.440
2,0:05,1,10,CHI 17,28,3,Dustin Hopkins 35 yard field goal good,4.440,3.000
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,28,3,"Pat O'Donnell kicks off 63 yards, returned by Steven Sims for 31 yards (tackle by DeAndre Houston-Carson)",0.000,1.140
3,14:54,1,10,WAS 33,28,3,Adrian Peterson left tackle for 5 yards (tackle by Leonard Floyd and Eddie Goldman),1.140,1.270
3,14:16,2,5,WAS 38,28,3,Case Keenum pass complete short middle to Trey Quinn for 7 yards (tackle by Danny Trevathan),1.270,1.930
3,13:54,1,10,WAS 45,28,3,Case Keenum pass complete short right to Paul Richardson for 13 yards (tackle by Ha Ha Clinton-Dix),1.930,2.790
3,13:16,1,10,CHI 42,28,3,Adrian Peterson right guard for 3 yards (tackle by Eddie Goldman),2.790,2.650
3,12:35,2,7,CHI 39,28,3,Case Keenum pass deep middle intended for Vernon Davis is intercepted by Ha Ha Clinton-Dix at CHI-17 and returned for 59 yards,2.650,-3.970
3,12:20,1,10,WAS 24,28,3,Cordarrelle Patterson right end for 1 yard (tackle by Montez Sweat and Jonathan Bostic),3.970,3.570
3,11:44,2,9,WAS 23,28,3,Tarik Cohen right end for -3 yards (tackle by Landon Collins),3.570,2.480
3,11:06,3,12,WAS 26,28,3,Mitchell Trubisky pass complete short right to Trey Burton for no gain (tackle by Landon Collins),2.480,1.740
3,10:20,4,12,WAS 26,28,3,Eddy Pineiro 44 yard field goal no good,1.740,-1.200
3,10:16,1,10,WAS 34,28,3,Case Keenum pass complete short right to Steven Sims for 13 yards (tackle by Ha Ha Clinton-Dix),1.200,2.060
3,9:45,1,10,WAS 47,28,3,Case Keenum pass incomplete short right intended for Adrian Peterson,2.060,1.520
3,9:42,2,10,WAS 47,28,3,Chris Thompson left tackle for 11 yards (tackle by Isaiah Irving and Ha Ha Clinton-Dix),1.520,2.790
