Unnamed: 0,CHI,WAS
First Downs,21,25
Rush-Yds-TDs,24-90-0,21-69-0
Cmp-Att-Yd-TD-INT,25-31-231-3-1,30-43-332-2-3
Sacked-Yards,3-23,4-45
Net Pass Yards,208,287
Total Yards,298,356
Fumbles-Lost,0-0,3-2
Turnovers,1,5
Penalties-Yards,9-59,9-61
Third Down Conv.,8-13,3-9
Fourth Down Conv.,0-0,2-3
Time of Possession,31:36,28:24
