Quarter,Time,Tm,Detail,CHI,WAS
1.0,9:42,Bears,Ha Ha Clinton-Dix 37 yard interception return (Eddy Pineiro kick),7,0
2.0,7:00,Bears,Taylor Gabriel 3 yard pass from Mitchell Trubisky (Eddy Pineiro kick),14,0
,5:42,Bears,Taylor Gabriel 1 yard pass from Mitchell Trubisky (Eddy Pineiro kick),21,0
,0:43,Bears,Taylor Gabriel 36 yard pass from Mitchell Trubisky (Eddy Pineiro kick),28,0
,0:00,Redskins,Dustin Hopkins 35 yard field goal,28,3
3.0,6:39,Redskins,Terry McLaurin 15 yard pass from Case Keenum (pass failed),28,9
4.0,13:11,Redskins,Paul Richardson 2 yard pass from Case Keenum (pass failed),28,15
,1:50,Bears,Eddy Pineiro 38 yard field goal,31,15
