Unnamed: 0,JAX,IND
First Downs,12,18
Rush-Yds-TDs,24-128-0,38-146-1
Cmp-Att-Yd-TD-INT,16-29-198-0-0,13-28-122-0-1
Sacked-Yards,6-23,0-0
Net Pass Yards,175,122
Total Yards,303,268
Fumbles-Lost,6-0,0-0
Turnovers,0,1
Penalties-Yards,7-60,6-45
Third Down Conv.,6-15,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,31:20,28:40
